Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,6.556510925292969e-05,5.698204040527344e-05,3.6716461181640625e-05,2.7179718017578125e-05,2.5510787963867188e-05,5.245208740234375e-05,565738
2,0.00015687942504882812,5.125999450683594e-05,2.0265579223632812e-05,1.5974044799804688e-05,0.00017690658569335938,4.4345855712890625e-05,565738
3,1.1205673217773438e-05,1.2159347534179688e-05,7.867813110351562e-06,1.3589859008789062e-05,2.2649765014648438e-05,1.9550323486328125e-05,565738
4,3.0040740966796875e-05,1.6689300537109375e-05,1.2636184692382812e-05,2.288818359375e-05,9.775161743164062e-06,7.3909759521484375e-06,565738
5,0.0002410411834716797,3.075599670410156e-05,1.2874603271484375e-05,1.2636184692382812e-05,2.3603439331054688e-05,7.867813110351562e-06,565738
6,5.1975250244140625e-05,7.867813110351562e-06,8.821487426757812e-06,8.106231689453125e-06,7.152557373046875e-06,6.67572021484375e-06,565738
7,9.298324584960938e-06,7.152557373046875e-06,6.67572021484375e-06,7.152557373046875e-06,6.4373016357421875e-06,8.106231689453125e-06,565738
8,1.1205673217773438e-05,1.4543533325195312e-05,1.0013580322265625e-05,9.5367431640625e-06,9.059906005859375e-06,8.821487426757812e-06,565738
9,1.430511474609375e-05,9.5367431640625e-06,1.0728836059570312e-05,9.775161743164062e-06,2.6941299438476562e-05,1.2874603271484375e-05,565738
10,1.6689300537109375e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.33514404296875e-05,1.239776611328125e-05,1.2159347534179688e-05,565738
11,3.790855407714844e-05,3.123283386230469e-05,0.004789829254150391,3.123283386230469e-05,8.821487426757812e-06,7.152557373046875e-06,565738
12,8.344650268554688e-06,4.76837158203125e-06,4.291534423828125e-06,5.0067901611328125e-06,4.291534423828125e-06,4.291534423828125e-06,565738
13,5.4836273193359375e-06,4.291534423828125e-06,4.291534423828125e-06,5.0067901611328125e-06,5.0067901611328125e-06,1.1682510375976562e-05,565738
14,9.059906005859375e-05,1.5020370483398438e-05,9.775161743164062e-06,6.532669067382812e-05,1.239776611328125e-05,9.298324584960938e-06,565738
15,8.392333984375e-05,9.5367431640625e-06,2.3365020751953125e-05,8.58306884765625e-06,8.106231689453125e-06,8.106231689453125e-06,565738
16,9.298324584960938e-06,8.106231689453125e-06,7.62939453125e-06,1.0013580322265625e-05,7.867813110351562e-06,8.106231689453125e-06,565738
17,1.3113021850585938e-05,7.62939453125e-06,7.62939453125e-06,2.3603439331054688e-05,2.8848648071289062e-05,5.078315734863281e-05,565738
18,6.818771362304688e-05,1.811981201171875e-05,1.1444091796875e-05,8.821487426757812e-06,6.67572021484375e-06,7.3909759521484375e-06,565738
19,1.8835067749023438e-05,9.059906005859375e-06,2.9802322387695312e-05,1.1920928955078125e-05,1.049041748046875e-05,7.152557373046875e-06,565738
20,1.430511474609375e-05,9.5367431640625e-06,9.298324584960938e-06,0.0004608631134033203,8.463859558105469e-05,6.008148193359375e-05,565738
21,2.5987625122070312e-05,1.1444091796875e-05,8.821487426757812e-06,9.298324584960938e-06,7.867813110351562e-06,7.62939453125e-06,565738
22,1.5735626220703125e-05,1.2636184692382812e-05,1.2874603271484375e-05,3.4332275390625e-05,3.0994415283203125e-05,2.9802322387695312e-05,565738
23,6.437301635742188e-05,2.5272369384765625e-05,1.4543533325195312e-05,3.552436828613281e-05,2.7894973754882812e-05,2.0265579223632812e-05,565738
24,5.459785461425781e-05,4.1961669921875e-05,0.0002663135528564453,2.0503997802734375e-05,1.2874603271484375e-05,9.775161743164062e-06,565738
25,4.00543212890625e-05,1.8358230590820312e-05,1.1920928955078125e-05,1.0013580322265625e-05,9.298324584960938e-06,1.0251998901367188e-05,565738
26,1.0251998901367188e-05,7.867813110351562e-06,7.867813110351562e-06,9.775161743164062e-06,9.059906005859375e-06,8.821487426757812e-06,565738
27,1.2636184692382812e-05,8.58306884765625e-06,7.62939453125e-06,1.0013580322265625e-05,8.58306884765625e-06,3.123283386230469e-05,565738
28,1.0013580322265625e-05,7.867813110351562e-06,1.049041748046875e-05,1.2874603271484375e-05,7.152557373046875e-06,7.62939453125e-06,565738
29,0.00023484230041503906,3.218650817871094e-05,1.0728836059570312e-05,1.1920928955078125e-05,8.821487426757812e-06,1.0013580322265625e-05,565738
30,5.0067901611328125e-05,1.7642974853515625e-05,1.52587890625e-05,3.62396240234375e-05,3.6716461181640625e-05,5.364418029785156e-05,565738
31,0.00018644332885742188,0.0004076957702636719,4.029273986816406e-05,0.00023436546325683594,5.14984130859375e-05,1.9788742065429688e-05,565738
32,5.078315734863281e-05,2.2411346435546875e-05,2.193450927734375e-05,2.5033950805664062e-05,5.078315734863281e-05,6.389617919921875e-05,565738
33,6.699562072753906e-05,4.38690185546875e-05,6.794929504394531e-05,0.0002644062042236328,6.413459777832031e-05,2.6464462280273438e-05,565738
34,2.2649765014648438e-05,9.5367431640625e-06,8.58306884765625e-06,1.0967254638671875e-05,0.00041556358337402344,2.6226043701171875e-05,565738
35,1.239776611328125e-05,8.821487426757812e-06,8.58306884765625e-06,1.049041748046875e-05,3.24249267578125e-05,8.916854858398438e-05,565738
36,7.033348083496094e-05,2.09808349609375e-05,2.2411346435546875e-05,6.699562072753906e-05,2.193450927734375e-05,1.6927719116210938e-05,565738
37,0.00027561187744140625,5.2928924560546875e-05,1.621246337890625e-05,1.621246337890625e-05,1.3113021850585938e-05,1.33514404296875e-05,565738
38,5.125999450683594e-05,1.5974044799804688e-05,1.049041748046875e-05,1.3589859008789062e-05,1.0013580322265625e-05,9.298324584960938e-06,565738
