Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,0.0015940666198730469,6.437301635742188e-05,4.4345855712890625e-05,3.457069396972656e-05,2.8133392333984375e-05,4.458427429199219e-05,251830
2,2.8133392333984375e-05,9.036064147949219e-05,0.0003094673156738281,5.0067901611328125e-05,3.218650817871094e-05,1.8835067749023438e-05,251830
3,3.910064697265625e-05,3.147125244140625e-05,2.9087066650390625e-05,2.288818359375e-05,1.8358230590820312e-05,1.6927719116210938e-05,251830
4,4.4345855712890625e-05,2.7894973754882812e-05,2.6464462280273438e-05,2.765655517578125e-05,2.7179718017578125e-05,2.7418136596679688e-05,251830
5,4.4345855712890625e-05,1.8596649169921875e-05,2.193450927734375e-05,8.082389831542969e-05,2.5510787963867188e-05,2.0742416381835938e-05,251830
6,0.0004956722259521484,7.367134094238281e-05,2.3126602172851562e-05,1.6450881958007812e-05,1.1920928955078125e-05,1.049041748046875e-05,251830
7,1.3828277587890625e-05,1.1444091796875e-05,1.0728836059570312e-05,1.1682510375976562e-05,1.049041748046875e-05,1.0251998901367188e-05,251830
8,1.2636184692382812e-05,1.049041748046875e-05,1.049041748046875e-05,1.1444091796875e-05,1.0728836059570312e-05,1.0251998901367188e-05,251830
9,1.1920928955078125e-05,1.0967254638671875e-05,1.049041748046875e-05,1.0967254638671875e-05,1.1444091796875e-05,2.4080276489257812e-05,251830
10,4.410743713378906e-05,2.3126602172851562e-05,2.1457672119140625e-05,2.3365020751953125e-05,2.1696090698242188e-05,2.1457672119140625e-05,251830
11,2.384185791015625e-05,2.1457672119140625e-05,2.193450927734375e-05,2.2172927856445312e-05,2.1219253540039062e-05,2.1457672119140625e-05,251830
12,3.8623809814453125e-05,6.914138793945312e-05,2.5272369384765625e-05,2.3603439331054688e-05,2.1457672119140625e-05,2.1457672119140625e-05,251830
13,2.4080276489257812e-05,2.1457672119140625e-05,2.2172927856445312e-05,2.2649765014648438e-05,2.1457672119140625e-05,2.193450927734375e-05,251830
14,2.3365020751953125e-05,2.1696090698242188e-05,2.1696090698242188e-05,2.2411346435546875e-05,2.1219253540039062e-05,2.1696090698242188e-05,251830
15,2.384185791015625e-05,2.193450927734375e-05,2.1457672119140625e-05,2.3126602172851562e-05,2.193450927734375e-05,2.1457672119140625e-05,251830
16,6.151199340820312e-05,4.124641418457031e-05,4.3392181396484375e-05,4.649162292480469e-05,4.3392181396484375e-05,3.647804260253906e-05,251830
17,1.8596649169921875e-05,1.1682510375976562e-05,1.0251998901367188e-05,1.1920928955078125e-05,1.0251998901367188e-05,1.0251998901367188e-05,251830
