Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,8.749961853027344e-05,1.5497207641601562e-05,1.1682510375976562e-05,2.2649765014648438e-05,9.059906005859375e-06,1.8596649169921875e-05,770866
2,1.2159347534179688e-05,8.821487426757812e-06,8.106231689453125e-06,8.58306884765625e-06,1.4066696166992188e-05,1.1920928955078125e-05,770866
3,9.059906005859375e-06,8.106231689453125e-06,1.0013580322265625e-05,1.9788742065429688e-05,1.5497207641601562e-05,1.3113021850585938e-05,770866
4,9.059906005859375e-06,8.344650268554688e-06,1.7881393432617188e-05,8.344650268554688e-06,9.059906005859375e-06,8.106231689453125e-06,770866
5,1.8596649169921875e-05,8.106231689453125e-06,8.344650268554688e-06,8.58306884765625e-06,7.867813110351562e-06,0.0006515979766845703,770866
6,2.7179718017578125e-05,3.0517578125e-05,1.0967254638671875e-05,1.1444091796875e-05,0.00041556358337402344,3.0279159545898438e-05,770866
7,1.5974044799804688e-05,9.298324584960938e-06,7.62939453125e-06,8.106231689453125e-06,7.867813110351562e-06,7.3909759521484375e-06,770866
8,8.821487426757812e-06,6.9141387939453125e-06,7.867813110351562e-06,6.9141387939453125e-06,7.152557373046875e-06,7.152557373046875e-06,770866
9,1.0251998901367188e-05,7.152557373046875e-06,7.3909759521484375e-06,7.867813110351562e-06,7.3909759521484375e-06,7.3909759521484375e-06,770866
10,8.821487426757812e-06,7.3909759521484375e-06,6.9141387939453125e-06,7.271766662597656e-05,3.62396240234375e-05,1.1920928955078125e-05,770866
11,1.3113021850585938e-05,1.239776611328125e-05,2.002716064453125e-05,1.621246337890625e-05,3.170967102050781e-05,1.5020370483398438e-05,770866
12,2.2172927856445312e-05,1.6689300537109375e-05,1.4066696166992188e-05,2.5033950805664062e-05,4.744529724121094e-05,0.0003516674041748047,770866
13,3.6716461181640625e-05,1.6689300537109375e-05,1.3828277587890625e-05,1.5020370483398438e-05,1.9788742065429688e-05,7.867813110351562e-06,770866
14,2.6464462280273438e-05,2.002716064453125e-05,1.5497207641601562e-05,2.4080276489257812e-05,1.3113021850585938e-05,7.152557373046875e-06,770866
15,9.059906005859375e-06,6.9141387939453125e-06,7.62939453125e-06,2.1696090698242188e-05,8.106231689453125e-06,6.67572021484375e-06,770866
16,9.298324584960938e-06,8.821487426757812e-06,7.867813110351562e-06,8.821487426757812e-06,9.298324584960938e-06,1.8358230590820312e-05,770866
17,3.218650817871094e-05,2.6941299438476562e-05,8.58306884765625e-06,9.775161743164062e-06,8.106231689453125e-06,9.298324584960938e-06,770866
18,1.239776611328125e-05,1.049041748046875e-05,2.384185791015625e-05,1.049041748046875e-05,9.5367431640625e-06,9.059906005859375e-06,770866
19,1.1444091796875e-05,1.0013580322265625e-05,8.821487426757812e-06,5.793571472167969e-05,1.2636184692382812e-05,1.5735626220703125e-05,770866
20,8.606910705566406e-05,1.6689300537109375e-05,8.344650268554688e-06,8.344650268554688e-06,7.867813110351562e-06,7.152557373046875e-06,770866
21,1.2874603271484375e-05,8.106231689453125e-06,9.5367431640625e-06,9.059906005859375e-06,8.58306884765625e-06,7.62939453125e-06,770866
22,1.0251998901367188e-05,8.106231689453125e-06,8.106231689453125e-06,1.0013580322265625e-05,7.867813110351562e-06,8.344650268554688e-06,770866
23,1.0013580322265625e-05,7.152557373046875e-06,7.62939453125e-06,8.58306884765625e-06,6.198883056640625e-06,7.867813110351562e-06,770866
24,1.049041748046875e-05,8.106231689453125e-06,7.62939453125e-06,9.775161743164062e-06,8.58306884765625e-06,7.867813110351562e-06,770866
25,5.984306335449219e-05,2.6702880859375e-05,1.2636184692382812e-05,1.0967254638671875e-05,8.58306884765625e-06,1.0251998901367188e-05,770866
26,1.0728836059570312e-05,8.58306884765625e-06,7.62939453125e-06,9.5367431640625e-06,8.106231689453125e-06,7.867813110351562e-06,770866
27,1.0013580322265625e-05,1.0967254638671875e-05,1.0728836059570312e-05,1.1205673217773438e-05,9.775161743164062e-06,1.049041748046875e-05,770866
28,1.2159347534179688e-05,1.0967254638671875e-05,1.049041748046875e-05,1.1920928955078125e-05,4.482269287109375e-05,0.0002951622009277344,770866
29,2.5033950805664062e-05,1.430511474609375e-05,1.1682510375976562e-05,1.3828277587890625e-05,1.621246337890625e-05,1.2874603271484375e-05,770866
30,1.7642974853515625e-05,9.775161743164062e-06,8.821487426757812e-06,7.867813110351562e-06,6.9141387939453125e-06,6.67572021484375e-06,770866
31,1.2636184692382812e-05,6.9141387939453125e-06,6.67572021484375e-06,8.58306884765625e-06,6.67572021484375e-06,7.62939453125e-06,770866
32,1.049041748046875e-05,8.344650268554688e-06,8.106231689453125e-06,9.059906005859375e-06,7.867813110351562e-06,7.3909759521484375e-06,770866
33,1.3589859008789062e-05,1.049041748046875e-05,7.62939453125e-06,1.3589859008789062e-05,6.9141387939453125e-06,6.67572021484375e-06,770866
34,1.5497207641601562e-05,1.0967254638671875e-05,1.0251998901367188e-05,1.7404556274414062e-05,1.1444091796875e-05,1.1205673217773438e-05,770866
35,3.2901763916015625e-05,1.3589859008789062e-05,1.1920928955078125e-05,1.2159347534179688e-05,9.5367431640625e-06,1.1444091796875e-05,770866
36,1.430511474609375e-05,2.7179718017578125e-05,1.2636184692382812e-05,3.5762786865234375e-05,2.09808349609375e-05,1.7881393432617188e-05,770866
37,2.3365020751953125e-05,2.3603439331054688e-05,1.2636184692382812e-05,3.1948089599609375e-05,1.430511474609375e-05,9.059906005859375e-06,770866
38,1.7404556274414062e-05,1.049041748046875e-05,1.0251998901367188e-05,1.6689300537109375e-05,8.344650268554688e-06,1.0967254638671875e-05,770866
39,1.0251998901367188e-05,1.33514404296875e-05,1.9550323486328125e-05,8.58306884765625e-06,1.4066696166992188e-05,9.298324584960938e-06,770866
40,0.00028777122497558594,7.390975952148438e-05,9.775161743164062e-06,1.0967254638671875e-05,1.1205673217773438e-05,1.1444091796875e-05,770866
41,1.4543533325195312e-05,8.821487426757812e-06,8.344650268554688e-06,1.1682510375976562e-05,9.059906005859375e-06,9.059906005859375e-06,770866
42,1.1444091796875e-05,8.106231689453125e-06,7.3909759521484375e-06,1.0967254638671875e-05,8.344650268554688e-06,8.344650268554688e-06,770866
43,1.4066696166992188e-05,9.298324584960938e-06,9.059906005859375e-06,1.1205673217773438e-05,1.0967254638671875e-05,8.821487426757812e-06,770866
