Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,0.0016641616821289062,4.410743713378906e-05,1.1920928955078125e-05,9.5367431640625e-06,7.62939453125e-06,3.647804260253906e-05,359574
2,1.1682510375976562e-05,7.62939453125e-06,7.152557373046875e-06,7.867813110351562e-06,8.821487426757812e-06,9.5367431640625e-06,359574
3,8.58306884765625e-06,7.152557373046875e-06,7.3909759521484375e-06,8.344650268554688e-06,1.1444091796875e-05,8.821487426757812e-06,359574
4,9.059906005859375e-06,1.0728836059570312e-05,8.58306884765625e-06,7.62939453125e-06,7.152557373046875e-06,7.152557373046875e-06,359574
5,1.2159347534179688e-05,7.152557373046875e-06,0.00010704994201660156,2.6941299438476562e-05,1.4543533325195312e-05,0.0006115436553955078,359574
6,0.00015735626220703125,5.125999450683594e-05,4.410743713378906e-05,4.649162292480469e-05,5.054473876953125e-05,6.866455078125e-05,359574
7,0.0005447864532470703,4.649162292480469e-05,3.075599670410156e-05,1.6689300537109375e-05,1.52587890625e-05,1.430511474609375e-05,359574
8,1.6689300537109375e-05,1.3589859008789062e-05,1.3589859008789062e-05,1.4543533325195312e-05,1.4066696166992188e-05,1.4781951904296875e-05,359574
9,1.8358230590820312e-05,1.8358230590820312e-05,0.0022346973419189453,4.57763671875e-05,2.1696090698242188e-05,1.6450881958007812e-05,359574
10,2.0503997802734375e-05,1.5020370483398438e-05,1.4543533325195312e-05,0.017388105392456055,0.0001766681671142578,3.123283386230469e-05,359574
11,2.5510787963867188e-05,1.0967254638671875e-05,9.059906005859375e-06,1.0013580322265625e-05,8.344650268554688e-06,8.106231689453125e-06,359574
12,1.71661376953125e-05,1.4543533325195312e-05,1.71661376953125e-05,1.621246337890625e-05,1.9073486328125e-05,2.7418136596679688e-05,359574
13,2.574920654296875e-05,1.9311904907226562e-05,1.7404556274414062e-05,3.337860107421875e-05,1.6927719116210938e-05,1.6450881958007812e-05,359574
14,1.8358230590820312e-05,1.6450881958007812e-05,1.6450881958007812e-05,1.6927719116210938e-05,1.621246337890625e-05,1.811981201171875e-05,359574
15,9.655952453613281e-05,3.600120544433594e-05,2.9087066650390625e-05,6.079673767089844e-05,3.0517578125e-05,2.3603439331054688e-05,359574
16,0.00035881996154785156,5.221366882324219e-05,3.3855438232421875e-05,9.465217590332031e-05,3.218650817871094e-05,3.552436828613281e-05,359574
17,3.075599670410156e-05,1.2636184692382812e-05,1.0967254638671875e-05,1.1920928955078125e-05,1.1444091796875e-05,1.049041748046875e-05,359574
18,1.33514404296875e-05,1.049041748046875e-05,1.0251998901367188e-05,1.1444091796875e-05,1.049041748046875e-05,1.0251998901367188e-05,359574
19,1.1682510375976562e-05,1.049041748046875e-05,1.0013580322265625e-05,1.1444091796875e-05,1.0967254638671875e-05,1.0251998901367188e-05,359574
20,1.2159347534179688e-05,1.0728836059570312e-05,1.0251998901367188e-05,1.1444091796875e-05,1.0251998901367188e-05,1.0013580322265625e-05,359574
21,1.2159347534179688e-05,1.0251998901367188e-05,1.0251998901367188e-05,1.1205673217773438e-05,1.049041748046875e-05,1.0251998901367188e-05,359574
22,1.2159347534179688e-05,1.0728836059570312e-05,1.0251998901367188e-05,1.1444091796875e-05,1.0251998901367188e-05,1.0251998901367188e-05,359574
23,1.2159347534179688e-05,1.0728836059570312e-05,1.049041748046875e-05,1.1205673217773438e-05,1.0728836059570312e-05,1.0251998901367188e-05,359574
24,1.239776611328125e-05,1.0728836059570312e-05,1.0251998901367188e-05,1.1444091796875e-05,1.0967254638671875e-05,1.0728836059570312e-05,359574
25,2.9802322387695312e-05,1.2159347534179688e-05,1.0728836059570312e-05,1.239776611328125e-05,1.049041748046875e-05,1.049041748046875e-05,359574
26,1.239776611328125e-05,1.049041748046875e-05,1.0967254638671875e-05,0.0004189014434814453,0.0003025531768798828,3.719329833984375e-05,359574
27,0.0010230541229248047,0.00033855438232421875,3.5762786865234375e-05,4.8160552978515625e-05,2.2172927856445312e-05,2.0265579223632812e-05,359574
28,2.4080276489257812e-05,1.811981201171875e-05,1.7642974853515625e-05,2.0503997802734375e-05,1.811981201171875e-05,5.2928924560546875e-05,359574
29,3.4332275390625e-05,1.9550323486328125e-05,0.0019881725311279297,0.00015044212341308594,5.412101745605469e-05,3.695487976074219e-05,359574
30,0.00012826919555664062,3.1948089599609375e-05,2.4557113647460938e-05,3.0040740966796875e-05,1.5497207641601562e-05,1.1682510375976562e-05,359574
31,1.049041748046875e-05,8.106231689453125e-06,7.867813110351562e-06,8.821487426757812e-06,7.62939453125e-06,7.867813110351562e-06,359574
32,9.5367431640625e-06,8.344650268554688e-06,7.867813110351562e-06,3.075599670410156e-05,7.3909759521484375e-06,6.67572021484375e-06,359574
33,9.298324584960938e-06,7.3909759521484375e-06,7.3909759521484375e-06,7.867813110351562e-06,6.4373016357421875e-06,6.67572021484375e-06,359574
34,9.5367431640625e-06,7.3909759521484375e-06,7.152557373046875e-06,8.344650268554688e-06,6.67572021484375e-06,6.67572021484375e-06,359574
35,1.0251998901367188e-05,2.7179718017578125e-05,1.7642974853515625e-05,9.5367431640625e-06,7.3909759521484375e-06,6.4373016357421875e-06,359574
36,1.7642974853515625e-05,1.0251998901367188e-05,1.0251998901367188e-05,1.0013580322265625e-05,9.5367431640625e-06,1.0013580322265625e-05,359574
37,1.0728836059570312e-05,8.106231689453125e-06,1.0251998901367188e-05,8.58306884765625e-06,1.0728836059570312e-05,7.3909759521484375e-06,359574
38,9.298324584960938e-06,6.9141387939453125e-06,6.9141387939453125e-06,1.0728836059570312e-05,7.867813110351562e-06,9.059906005859375e-06,359574
39,9.298324584960938e-06,7.152557373046875e-06,6.9141387939453125e-06,1.0967254638671875e-05,8.58306884765625e-06,6.9141387939453125e-06,359574
40,9.775161743164062e-06,6.67572021484375e-06,7.152557373046875e-06,7.867813110351562e-06,7.152557373046875e-06,6.9141387939453125e-06,359574
41,9.059906005859375e-06,7.62939453125e-06,1.049041748046875e-05,1.52587890625e-05,1.0251998901367188e-05,1.0013580322265625e-05,359574
42,1.1444091796875e-05,7.152557373046875e-06,6.9141387939453125e-06,8.821487426757812e-06,6.9141387939453125e-06,7.152557373046875e-06,359574
43,3.361701965332031e-05,1.0967254638671875e-05,7.62939453125e-06,8.821487426757812e-06,7.62939453125e-06,7.152557373046875e-06,359574
