Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,0.0009288787841796875,6.270408630371094e-05,2.8371810913085938e-05,2.384185791015625e-05,1.9073486328125e-05,3.838539123535156e-05,873430
2,2.8848648071289062e-05,9.036064147949219e-05,3.743171691894531e-05,2.2649765014648438e-05,1.9311904907226562e-05,1.811981201171875e-05,873430
3,2.3603439331054688e-05,1.8358230590820312e-05,1.7881393432617188e-05,1.8596649169921875e-05,1.7404556274414062e-05,1.7404556274414062e-05,873430
4,2.193450927734375e-05,1.8358230590820312e-05,1.811981201171875e-05,2.0503997802734375e-05,4.3392181396484375e-05,0.0001289844512939453,873430
5,3.743171691894531e-05,2.002716064453125e-05,1.8358230590820312e-05,2.09808349609375e-05,1.811981201171875e-05,1.811981201171875e-05,873430
6,2.2649765014648438e-05,1.9073486328125e-05,1.9073486328125e-05,2.0503997802734375e-05,1.7642974853515625e-05,1.7642974853515625e-05,873430
7,2.2411346435546875e-05,2.4557113647460938e-05,0.00012946128845214844,5.054473876953125e-05,3.1948089599609375e-05,3.7670135498046875e-05,873430
8,3.647804260253906e-05,2.1696090698242188e-05,1.811981201171875e-05,2.002716064453125e-05,1.8835067749023438e-05,1.7881393432617188e-05,873430
9,2.3126602172851562e-05,1.9311904907226562e-05,6.556510925292969e-05,4.696846008300781e-05,3.123283386230469e-05,2.6702880859375e-05,873430
10,5.888938903808594e-05,4.00543212890625e-05,2.9802322387695312e-05,2.5033950805664062e-05,1.8835067749023438e-05,3.5762786865234375e-05,873430
11,3.147125244140625e-05,2.1457672119140625e-05,1.8358230590820312e-05,2.0503997802734375e-05,7.891654968261719e-05,2.6226043701171875e-05,873430
12,2.8133392333984375e-05,1.9788742065429688e-05,1.7404556274414062e-05,2.0503997802734375e-05,1.8596649169921875e-05,1.8835067749023438e-05,873430
13,2.384185791015625e-05,1.9311904907226562e-05,1.7642974853515625e-05,2.0503997802734375e-05,1.9073486328125e-05,1.71661376953125e-05,873430
14,2.288818359375e-05,1.9311904907226562e-05,1.7642974853515625e-05,1.9788742065429688e-05,1.7881393432617188e-05,1.71661376953125e-05,873430
15,2.1696090698242188e-05,1.7881393432617188e-05,1.71661376953125e-05,2.2649765014648438e-05,1.9073486328125e-05,1.9550323486328125e-05,873430
16,0.00010395050048828125,8.96453857421875e-05,2.7179718017578125e-05,2.2411346435546875e-05,1.8358230590820312e-05,1.7404556274414062e-05,873430
17,7.915496826171875e-05,3.147125244140625e-05,1.9311904907226562e-05,2.1219253540039062e-05,1.811981201171875e-05,1.8358230590820312e-05,873430
