Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,6.580352783203125e-05,2.1219253540039062e-05,2.002716064453125e-05,1.239776611328125e-05,1.430511474609375e-05,0.0002579689025878906,565738
2,2.5987625122070312e-05,0.0011222362518310547,4.887580871582031e-05,1.4781951904296875e-05,1.6927719116210938e-05,1.3113021850585938e-05,565738
3,1.7642974853515625e-05,0.0002689361572265625,2.1457672119140625e-05,1.0728836059570312e-05,9.5367431640625e-06,6.67572021484375e-06,565738
4,1.0251998901367188e-05,7.3909759521484375e-06,7.867813110351562e-06,8.106231689453125e-06,1.3828277587890625e-05,1.5974044799804688e-05,565738
5,5.0067901611328125e-05,1.5735626220703125e-05,1.33514404296875e-05,1.4066696166992188e-05,2.002716064453125e-05,2.2172927856445312e-05,565738
6,2.6464462280273438e-05,2.193450927734375e-05,1.4781951904296875e-05,3.4809112548828125e-05,2.1219253540039062e-05,2.0265579223632812e-05,565738
7,2.5510787963867188e-05,2.6464462280273438e-05,1.5974044799804688e-05,2.0742416381835938e-05,1.5020370483398438e-05,1.4066696166992188e-05,565738
8,0.0001246929168701172,5.7220458984375e-05,0.0005033016204833984,7.677078247070312e-05,6.318092346191406e-05,0.0001366138458251953,565738
9,4.792213439941406e-05,3.814697265625e-05,2.8133392333984375e-05,3.457069396972656e-05,3.24249267578125e-05,2.6941299438476562e-05,565738
10,2.5987625122070312e-05,1.5735626220703125e-05,1.4543533325195312e-05,1.8835067749023438e-05,9.775161743164062e-06,7.867813110351562e-06,565738
11,8.130073547363281e-05,0.000583648681640625,0.00016736984252929688,2.4080276489257812e-05,2.5272369384765625e-05,1.9788742065429688e-05,565738
12,1.9311904907226562e-05,1.4543533325195312e-05,1.3589859008789062e-05,1.52587890625e-05,1.3828277587890625e-05,1.5497207641601562e-05,565738
13,3.552436828613281e-05,1.239776611328125e-05,1.0251998901367188e-05,3.1948089599609375e-05,7.152557373046875e-06,6.9141387939453125e-06,565738
14,9.679794311523438e-05,8.106231689453125e-06,6.4373016357421875e-06,5.4836273193359375e-06,4.76837158203125e-06,4.5299530029296875e-06,565738
15,5.2928924560546875e-05,3.719329833984375e-05,1.3589859008789062e-05,1.71661376953125e-05,1.1682510375976562e-05,1.5020370483398438e-05,565738
16,3.218650817871094e-05,8.821487426757812e-06,7.3909759521484375e-06,1.049041748046875e-05,7.3909759521484375e-06,7.152557373046875e-06,565738
17,1.9788742065429688e-05,1.0013580322265625e-05,7.3909759521484375e-06,8.106231689453125e-06,7.3909759521484375e-06,6.198883056640625e-06,565738
18,8.821487426757812e-06,6.9141387939453125e-06,6.67572021484375e-06,8.106231689453125e-06,7.152557373046875e-06,6.4373016357421875e-06,565738
19,9.298324584960938e-06,7.3909759521484375e-06,7.152557373046875e-06,7.62939453125e-06,7.62939453125e-06,6.9141387939453125e-06,565738
20,8.821487426757812e-06,7.152557373046875e-06,6.9141387939453125e-06,8.106231689453125e-06,6.9141387939453125e-06,6.9141387939453125e-06,565738
21,9.775161743164062e-06,7.152557373046875e-06,6.9141387939453125e-06,8.106231689453125e-06,6.9141387939453125e-06,6.9141387939453125e-06,565738
22,8.821487426757812e-06,6.9141387939453125e-06,9.059906005859375e-06,1.52587890625e-05,1.1920928955078125e-05,8.344650268554688e-06,565738
23,9.059906005859375e-06,7.3909759521484375e-06,7.3909759521484375e-06,7.867813110351562e-06,7.152557373046875e-06,6.9141387939453125e-06,565738
24,9.059906005859375e-06,7.152557373046875e-06,6.67572021484375e-06,8.58306884765625e-06,7.3909759521484375e-06,7.152557373046875e-06,565738
25,1.71661376953125e-05,8.106231689453125e-06,7.152557373046875e-06,8.821487426757812e-06,7.3909759521484375e-06,6.9141387939453125e-06,565738
26,9.059906005859375e-06,7.3909759521484375e-06,6.9141387939453125e-06,1.2636184692382812e-05,1.4543533325195312e-05,1.2636184692382812e-05,565738
27,1.3828277587890625e-05,7.3909759521484375e-06,7.3909759521484375e-06,8.58306884765625e-06,7.3909759521484375e-06,7.152557373046875e-06,565738
28,9.775161743164062e-06,7.3909759521484375e-06,7.152557373046875e-06,8.344650268554688e-06,7.3909759521484375e-06,7.62939453125e-06,565738
29,1.0251998901367188e-05,7.62939453125e-06,7.3909759521484375e-06,9.298324584960938e-06,7.3909759521484375e-06,6.67572021484375e-06,565738
30,6.222724914550781e-05,3.1948089599609375e-05,1.430511474609375e-05,1.9073486328125e-05,1.52587890625e-05,1.71661376953125e-05,565738
31,1.3113021850585938e-05,8.821487426757812e-06,6.4373016357421875e-06,1.0967254638671875e-05,7.3909759521484375e-06,6.198883056640625e-06,565738
32,8.344650268554688e-06,7.3909759521484375e-06,7.62939453125e-06,1.1682510375976562e-05,7.867813110351562e-06,9.5367431640625e-06,565738
33,1.8358230590820312e-05,1.0728836059570312e-05,7.3909759521484375e-06,8.344650268554688e-06,7.62939453125e-06,6.67572021484375e-06,565738
34,3.147125244140625e-05,9.775161743164062e-06,7.867813110351562e-06,8.821487426757812e-06,7.152557373046875e-06,6.67572021484375e-06,565738
35,1.0728836059570312e-05,7.152557373046875e-06,6.9141387939453125e-06,8.344650268554688e-06,7.3909759521484375e-06,6.9141387939453125e-06,565738
36,8.344650268554688e-06,7.3909759521484375e-06,7.152557373046875e-06,1.4066696166992188e-05,1.3589859008789062e-05,9.059906005859375e-06,565738
37,9.298324584960938e-06,7.152557373046875e-06,6.4373016357421875e-06,8.344650268554688e-06,7.3909759521484375e-06,6.9141387939453125e-06,565738
38,1.7404556274414062e-05,8.106231689453125e-06,7.62939453125e-06,8.106231689453125e-06,7.152557373046875e-06,7.3909759521484375e-06,565738
39,9.775161743164062e-06,6.9141387939453125e-06,6.9141387939453125e-06,8.58306884765625e-06,8.58306884765625e-06,9.5367431640625e-06,565738
