filename,user_id,authorized_users,encryption_duration,encrypted_file_size,,
user_100_auth_EMP080_EMP069_aggregated.txt,100,"EMP080,EMP069",0.19672149998950772,52352,,
user_101_auth_EMP035_EMP053_aggregated.txt,101,"EMP035,EMP053",0.035561,52384,,
user_102_auth_EMP027_EMP079_EMP042_EMP046_EMP014_EMP024_EMP082_EMP048_aggregated.txt,102,"EMP027,EMP079,EMP042,EMP046,EMP014,EMP024,EMP082,EMP048",0.0304766,51632,,
user_103_auth_EMP068_EMP075_EMP031_EMP021_EMP011_EMP029_EMP004_EMP063_EMP001_aggregated.txt,103,"EMP068,EMP075,EMP031,EMP021,EMP011,EMP029,EMP004,EMP063,EMP001",0.024931399995693937,51680,,
user_104_auth_EMP075_aggregated.txt,104,EMP075,0.026098800008185208,52352,,
user_105_auth_EMP025_EMP066_EMP026_EMP061_EMP019_EMP047_EMP024_EMP073_EMP060_EMP031_aggregated.txt,105,"EMP025,EMP066,EMP026,EMP061,EMP019,EMP047,EMP024,EMP073,EMP060,EMP031",0.024943399999756366,51696,,
user_106_auth_EMP041_EMP028_EMP026_EMP048_EMP036_EMP005_EMP040_EMP059_EMP043_aggregated.txt,106,"EMP041,EMP028,EMP026,EMP048,EMP036,EMP005,EMP040,EMP059,EMP043",0.023433,51680,,
user_107_auth_EMP075_aggregated.txt,107,EMP075,0.025201200012816116,52368,,0.019862767
user_108_auth_EMP041_EMP053_EMP071_aggregated.txt,108,"EMP041,EMP053,EMP071",0.026842899998882785,52416,,
user_109_auth_EMP005_EMP063_EMP026_EMP001_EMP035_EMP078_EMP072_EMP031_EMP022_aggregated.txt,109,"EMP005,EMP063,EMP026,EMP001,EMP035,EMP078,EMP072,EMP031,EMP022",0.025417900003958493,51648,,19.86276667
user_10_auth_EMP053_EMP008_EMP079_EMP081_EMP070_EMP078_EMP027_EMP015_EMP020_EMP001_aggregated.txt,10,"EMP053,EMP008,EMP079,EMP081,EMP070,EMP078,EMP027,EMP015,EMP020,EMP001",0.030859099992085248,51728,,
user_110_auth_EMP028_EMP050_EMP053_EMP010_EMP023_EMP070_EMP065_aggregated.txt,110,"EMP028,EMP050,EMP053,EMP010,EMP023,EMP070,EMP065",0.025647500006016344,51536,,
user_111_auth_EMP007_EMP067_aggregated.txt,111,"EMP007,EMP067",0.022310900007141754,52384,,
user_112_auth_EMP082_EMP072_EMP010_EMP051_EMP059_EMP078_EMP045_EMP079_aggregated.txt,112,"EMP082,EMP072,EMP010,EMP051,EMP059,EMP078,EMP045,EMP079",0.024244400003226474,51632,,
user_113_auth_EMP080_EMP070_EMP068_EMP003_EMP023_EMP039_EMP022_aggregated.txt,113,"EMP080,EMP070,EMP068,EMP003,EMP023,EMP039,EMP022",0.023279600020032376,51552,,
user_114_auth_EMP045_EMP028_EMP008_EMP060_aggregated.txt,114,"EMP045,EMP028,EMP008,EMP060",0.020786200009752065,51440,,
user_115_auth_EMP021_EMP006_EMP056_EMP045_EMP003_EMP040_aggregated.txt,115,"EMP021,EMP006,EMP056,EMP045,EMP003,EMP040",0.0045176,51520,,
user_116_auth_EMP023_EMP019_EMP070_EMP020_EMP021_aggregated.txt,116,"EMP023,EMP019,EMP070,EMP020,EMP021",0.0044252,51488,,
user_117_auth_EMP082_EMP062_EMP010_EMP048_EMP053_EMP016_aggregated.txt,117,"EMP082,EMP062,EMP010,EMP048,EMP053,EMP016",0.026156700012506917,51488,,
user_118_auth_EMP066_EMP065_EMP068_EMP044_aggregated.txt,118,"EMP066,EMP065,EMP068,EMP044",0.0207632,52448,,
user_119_auth_EMP026_aggregated.txt,119,EMP026,0.0220316,52320,,
user_11_auth_EMP020_aggregated.txt,11,EMP020,0.0249945,52336,,
user_120_auth_EMP071_EMP074_EMP024_EMP031_EMP082_EMP052_EMP012_EMP070_EMP060_EMP022_aggregated.txt,120,"EMP071,EMP074,EMP024,EMP031,EMP082,EMP052,EMP012,EMP070,EMP060,EMP022",0.025111199996899813,51696,,
user_121_auth_EMP077_aggregated.txt,121,EMP077,0.024005899991607293,52336,,
user_122_auth_EMP006_EMP078_EMP053_EMP035_EMP059_EMP005_EMP033_EMP001_EMP043_aggregated.txt,122,"EMP006,EMP078,EMP053,EMP035,EMP059,EMP005,EMP033,EMP001,EMP043",0.0210564,51664,,
user_123_auth_EMP078_EMP048_EMP041_EMP025_aggregated.txt,123,"EMP078,EMP048,EMP041,EMP025",0.019775699998717755,51440,,
user_124_auth_EMP024_EMP072_EMP066_EMP073_EMP030_EMP031_aggregated.txt,124,"EMP024,EMP072,EMP066,EMP073,EMP030,EMP031",0.0228628,51504,,
user_125_auth_EMP026_EMP059_EMP022_EMP028_EMP076_EMP009_aggregated.txt,125,"EMP026,EMP059,EMP022,EMP028,EMP076,EMP009",0.025721400015754625,51536,,
user_126_auth_EMP023_EMP081_EMP065_EMP082_EMP021_aggregated.txt,126,"EMP023,EMP081,EMP065,EMP082,EMP021",0.025863800023216754,51504,,
user_127_auth_EMP038_EMP028_EMP050_EMP002_EMP059_EMP071_EMP022_EMP066_aggregated.txt,127,"EMP038,EMP028,EMP050,EMP002,EMP059,EMP071,EMP022,EMP066",0.026804100023582578,51632,,
user_128_auth_EMP003_EMP057_EMP063_EMP036_EMP042_EMP005_EMP031_EMP059_aggregated.txt,128,"EMP003,EMP057,EMP063,EMP036,EMP042,EMP005,EMP031,EMP059",0.023555699997814372,51600,,
user_129_auth_EMP023_EMP042_EMP069_EMP001_aggregated.txt,129,"EMP023,EMP042,EMP069,EMP001",0.023557799984700978,52448,,
