Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,0.00015974044799804688,3.7670135498046875e-05,3.170967102050781e-05,3.743171691894531e-05,2.3126602172851562e-05,4.601478576660156e-05,873430
2,2.6702880859375e-05,2.9325485229492188e-05,1.2874603271484375e-05,1.33514404296875e-05,2.47955322265625e-05,1.3113021850585938e-05,873430
3,1.4543533325195312e-05,2.8133392333984375e-05,1.1682510375976562e-05,1.3113021850585938e-05,1.239776611328125e-05,2.1696090698242188e-05,873430
4,2.7894973754882812e-05,1.239776611328125e-05,1.2159347534179688e-05,1.52587890625e-05,2.193450927734375e-05,1.2159347534179688e-05,873430
5,1.33514404296875e-05,1.1920928955078125e-05,1.2636184692382812e-05,2.2172927856445312e-05,1.1920928955078125e-05,1.2159347534179688e-05,873430
6,8.0108642578125e-05,0.0003991127014160156,5.555152893066406e-05,1.8835067749023438e-05,1.7881393432617188e-05,1.33514404296875e-05,873430
7,3.075599670410156e-05,2.1696090698242188e-05,2.3603439331054688e-05,1.239776611328125e-05,8.106231689453125e-06,7.152557373046875e-06,873430
8,1.049041748046875e-05,7.3909759521484375e-06,7.152557373046875e-06,7.867813110351562e-06,6.9141387939453125e-06,7.152557373046875e-06,873430
9,8.106231689453125e-06,7.152557373046875e-06,7.152557373046875e-06,7.867813110351562e-06,7.152557373046875e-06,6.9141387939453125e-06,873430
10,8.344650268554688e-06,0.00010800361633300781,3.4809112548828125e-05,3.0279159545898438e-05,8.106231689453125e-06,7.152557373046875e-06,873430
11,1.3828277587890625e-05,1.1920928955078125e-05,1.1444091796875e-05,1.239776611328125e-05,1.1682510375976562e-05,1.0728836059570312e-05,873430
12,1.430511474609375e-05,1.2636184692382812e-05,1.2159347534179688e-05,1.0251998901367188e-05,0.00039315223693847656,3.075599670410156e-05,873430
13,1.8835067749023438e-05,1.3113021850585938e-05,1.2636184692382812e-05,1.3589859008789062e-05,1.1920928955078125e-05,1.1205673217773438e-05,873430
14,3.600120544433594e-05,2.4557113647460938e-05,4.1961669921875e-05,1.8358230590820312e-05,1.7404556274414062e-05,1.811981201171875e-05,873430
15,3.790855407714844e-05,1.71661376953125e-05,1.6927719116210938e-05,0.00012969970703125,2.956390380859375e-05,0.005393505096435547,873430
16,5.7220458984375e-05,1.8596649169921875e-05,1.8596649169921875e-05,1.5735626220703125e-05,1.3113021850585938e-05,1.3113021850585938e-05,873430
17,4.267692565917969e-05,1.6450881958007812e-05,8.916854858398438e-05,2.9325485229492188e-05,2.1219253540039062e-05,2.0265579223632812e-05,873430
18,4.172325134277344e-05,2.5033950805664062e-05,3.314018249511719e-05,3.266334533691406e-05,5.14984130859375e-05,2.2411346435546875e-05,873430
19,2.2649765014648438e-05,2.765655517578125e-05,2.3365020751953125e-05,2.09808349609375e-05,1.33514404296875e-05,1.3113021850585938e-05,873430
20,2.384185791015625e-05,1.5020370483398438e-05,1.3589859008789062e-05,1.5020370483398438e-05,2.193450927734375e-05,2.5987625122070312e-05,873430
21,3.0279159545898438e-05,0.0008001327514648438,4.6253204345703125e-05,4.553794860839844e-05,1.8358230590820312e-05,5.3882598876953125e-05,873430
22,6.818771362304688e-05,3.2901763916015625e-05,2.8848648071289062e-05,3.147125244140625e-05,2.3603439331054688e-05,2.574920654296875e-05,873430
23,4.363059997558594e-05,0.0005207061767578125,9.417533874511719e-05,2.4318695068359375e-05,1.621246337890625e-05,1.4066696166992188e-05,873430
24,4.482269287109375e-05,0.00021457672119140625,0.0010671615600585938,4.315376281738281e-05,2.2649765014648438e-05,2.86102294921875e-05,873430
25,2.7418136596679688e-05,1.6450881958007812e-05,1.430511474609375e-05,1.71661376953125e-05,1.430511474609375e-05,1.4066696166992188e-05,873430
26,7.534027099609375e-05,1.6927719116210938e-05,1.1205673217773438e-05,1.3828277587890625e-05,1.0728836059570312e-05,1.0967254638671875e-05,873430
27,1.4781951904296875e-05,1.0967254638671875e-05,1.0728836059570312e-05,1.239776611328125e-05,1.1205673217773438e-05,1.0728836059570312e-05,873430
28,1.2874603271484375e-05,1.1205673217773438e-05,1.0967254638671875e-05,1.239776611328125e-05,1.0728836059570312e-05,1.0967254638671875e-05,873430
29,1.33514404296875e-05,1.0967254638671875e-05,1.0728836059570312e-05,1.239776611328125e-05,1.049041748046875e-05,1.0967254638671875e-05,873430
30,1.2636184692382812e-05,1.1205673217773438e-05,1.2159347534179688e-05,2.1696090698242188e-05,1.7642974853515625e-05,2.002716064453125e-05,873430
31,1.4066696166992188e-05,0.0004792213439941406,1.1205673217773438e-05,1.0013580322265625e-05,7.152557373046875e-06,6.4373016357421875e-06,873430
