Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,7.534027099609375e-05,2.384185791015625e-05,2.0265579223632812e-05,3.147125244140625e-05,0.00067901611328125,2.7179718017578125e-05,668302
2,2.5272369384765625e-05,1.3828277587890625e-05,1.3589859008789062e-05,1.430511474609375e-05,1.3113021850585938e-05,1.2874603271484375e-05,668302
3,1.7881393432617188e-05,1.430511474609375e-05,1.4543533325195312e-05,1.52587890625e-05,1.3828277587890625e-05,1.3589859008789062e-05,668302
4,3.1948089599609375e-05,1.5497207641601562e-05,1.3589859008789062e-05,0.0001049041748046875,4.220008850097656e-05,3.0994415283203125e-05,668302
5,3.600120544433594e-05,2.288818359375e-05,2.8133392333984375e-05,3.123283386230469e-05,2.09808349609375e-05,2.6941299438476562e-05,668302
6,0.0003733634948730469,7.605552673339844e-05,2.193450927734375e-05,1.6450881958007812e-05,1.2874603271484375e-05,1.239776611328125e-05,668302
7,1.7642974853515625e-05,7.557868957519531e-05,0.0003256797790527344,3.933906555175781e-05,1.6689300537109375e-05,1.33514404296875e-05,668302
8,1.7881393432617188e-05,1.4066696166992188e-05,1.3828277587890625e-05,1.4781951904296875e-05,1.7881393432617188e-05,1.1682510375976562e-05,668302
9,1.7404556274414062e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.4781951904296875e-05,1.33514404296875e-05,1.33514404296875e-05,668302
10,1.6450881958007812e-05,1.4066696166992188e-05,1.3113021850585938e-05,1.430511474609375e-05,1.2874603271484375e-05,1.3589859008789062e-05,668302
11,1.9311904907226562e-05,6.628036499023438e-05,1.811981201171875e-05,1.5735626220703125e-05,1.3828277587890625e-05,1.2636184692382812e-05,668302
12,1.8358230590820312e-05,1.430511474609375e-05,1.33514404296875e-05,1.5974044799804688e-05,1.2874603271484375e-05,1.33514404296875e-05,668302
13,8.320808410644531e-05,2.0742416381835938e-05,7.700920104980469e-05,2.002716064453125e-05,1.3589859008789062e-05,1.2636184692382812e-05,668302
14,1.8835067749023438e-05,1.33514404296875e-05,1.3113021850585938e-05,1.5974044799804688e-05,1.2874603271484375e-05,1.3113021850585938e-05,668302
15,1.811981201171875e-05,1.3589859008789062e-05,1.3113021850585938e-05,1.4781951904296875e-05,1.3589859008789062e-05,1.2636184692382812e-05,668302
16,1.8596649169921875e-05,1.3828277587890625e-05,1.2874603271484375e-05,1.621246337890625e-05,1.5497207641601562e-05,1.2636184692382812e-05,668302
17,1.9550323486328125e-05,1.430511474609375e-05,1.3828277587890625e-05,1.621246337890625e-05,1.3589859008789062e-05,1.3113021850585938e-05,668302
18,1.7642974853515625e-05,1.3828277587890625e-05,1.3113021850585938e-05,1.621246337890625e-05,1.33514404296875e-05,1.3828277587890625e-05,668302
19,4.0531158447265625e-05,1.5497207641601562e-05,1.4066696166992188e-05,1.5497207641601562e-05,1.3828277587890625e-05,1.4066696166992188e-05,668302
20,1.9788742065429688e-05,1.4066696166992188e-05,1.33514404296875e-05,1.6450881958007812e-05,1.3828277587890625e-05,1.3113021850585938e-05,668302
21,1.7881393432617188e-05,1.4066696166992188e-05,1.2636184692382812e-05,1.5020370483398438e-05,9.012222290039062e-05,9.608268737792969e-05,668302
22,2.6226043701171875e-05,1.52587890625e-05,1.4543533325195312e-05,1.5974044799804688e-05,1.3828277587890625e-05,1.33514404296875e-05,668302
23,1.5735626220703125e-05,1.430511474609375e-05,1.3113021850585938e-05,1.9073486328125e-05,1.2874603271484375e-05,1.3113021850585938e-05,668302
24,1.71661376953125e-05,1.3589859008789062e-05,1.33514404296875e-05,1.52587890625e-05,1.3589859008789062e-05,1.3589859008789062e-05,668302
25,1.5974044799804688e-05,1.33514404296875e-05,1.430511474609375e-05,1.621246337890625e-05,1.3589859008789062e-05,1.33514404296875e-05,668302
26,1.7881393432617188e-05,1.430511474609375e-05,1.33514404296875e-05,1.5974044799804688e-05,1.3828277587890625e-05,1.3589859008789062e-05,668302
27,0.00028634071350097656,4.57763671875e-05,2.1457672119140625e-05,2.5033950805664062e-05,1.9550323486328125e-05,1.8835067749023438e-05,668302
28,2.8133392333984375e-05,1.4781951904296875e-05,1.2874603271484375e-05,1.6450881958007812e-05,1.3828277587890625e-05,1.3113021850585938e-05,668302
29,1.9073486328125e-05,1.5735626220703125e-05,1.3589859008789062e-05,1.4781951904296875e-05,1.2636184692382812e-05,1.2874603271484375e-05,668302
30,1.5735626220703125e-05,1.33514404296875e-05,1.33514404296875e-05,1.621246337890625e-05,1.3113021850585938e-05,1.33514404296875e-05,668302
31,3.147125244140625e-05,1.5497207641601562e-05,1.4066696166992188e-05,1.6450881958007812e-05,1.430511474609375e-05,1.33514404296875e-05,668302
32,1.9073486328125e-05,1.3589859008789062e-05,1.3589859008789062e-05,1.5735626220703125e-05,1.33514404296875e-05,1.3113021850585938e-05,668302
33,1.5974044799804688e-05,1.33514404296875e-05,1.3113021850585938e-05,1.5020370483398438e-05,1.3113021850585938e-05,1.3113021850585938e-05,668302
34,3.0517578125e-05,5.91278076171875e-05,1.7881393432617188e-05,1.621246337890625e-05,1.3589859008789062e-05,1.33514404296875e-05,668302
35,1.5735626220703125e-05,1.33514404296875e-05,1.33514404296875e-05,3.170967102050781e-05,1.52587890625e-05,1.2874603271484375e-05,668302
36,1.8835067749023438e-05,1.4543533325195312e-05,1.33514404296875e-05,1.52587890625e-05,1.3828277587890625e-05,1.33514404296875e-05,668302
37,1.9788742065429688e-05,1.3589859008789062e-05,1.3113021850585938e-05,1.5497207641601562e-05,1.3589859008789062e-05,1.3589859008789062e-05,668302
38,1.8835067749023438e-05,1.4066696166992188e-05,1.4781951904296875e-05,5.984306335449219e-05,2.2172927856445312e-05,1.4781951904296875e-05,668302
39,2.5033950805664062e-05,1.6689300537109375e-05,1.4066696166992188e-05,1.71661376953125e-05,1.3589859008789062e-05,1.2874603271484375e-05,668302
40,1.6450881958007812e-05,1.3589859008789062e-05,1.52587890625e-05,1.5497207641601562e-05,1.33514404296875e-05,1.33514404296875e-05,668302
41,1.811981201171875e-05,1.3113021850585938e-05,4.6253204345703125e-05,1.6689300537109375e-05,1.3589859008789062e-05,1.2874603271484375e-05,668302
42,1.8835067749023438e-05,1.3828277587890625e-05,1.2874603271484375e-05,1.4781951904296875e-05,1.4066696166992188e-05,1.33514404296875e-05,668302
43,8.702278137207031e-05,1.8358230590820312e-05,1.5020370483398438e-05,4.124641418457031e-05,3.218650817871094e-05,2.5510787963867188e-05,668302
44,3.504753112792969e-05,2.6941299438476562e-05,2.384185791015625e-05,3.6716461181640625e-05,3.147125244140625e-05,2.6702880859375e-05,668302
45,5.125999450683594e-05,2.956390380859375e-05,2.86102294921875e-05,2.09808349609375e-05,1.4066696166992188e-05,1.6450881958007812e-05,668302
46,2.9802322387695312e-05,1.5020370483398438e-05,1.33514404296875e-05,1.621246337890625e-05,1.33514404296875e-05,1.3113021850585938e-05,668302
47,1.6689300537109375e-05,1.3589859008789062e-05,1.33514404296875e-05,1.5020370483398438e-05,1.3589859008789062e-05,8.416175842285156e-05,668302
48,3.337860107421875e-05,1.621246337890625e-05,1.4066696166992188e-05,1.71661376953125e-05,1.4066696166992188e-05,1.2874603271484375e-05,668302
49,1.7404556274414062e-05,1.430511474609375e-05,1.33514404296875e-05,1.6689300537109375e-05,1.4066696166992188e-05,1.2159347534179688e-05,668302
50,1.9550323486328125e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.7642974853515625e-05,1.3828277587890625e-05,1.33514404296875e-05,668302
51,1.8596649169921875e-05,1.430511474609375e-05,1.2874603271484375e-05,1.811981201171875e-05,1.4066696166992188e-05,1.33514404296875e-05,668302
52,2.1219253540039062e-05,1.3828277587890625e-05,1.33514404296875e-05,3.2901763916015625e-05,1.621246337890625e-05,1.3589859008789062e-05,668302
53,2.193450927734375e-05,1.4066696166992188e-05,1.2874603271484375e-05,1.811981201171875e-05,1.3589859008789062e-05,1.3113021850585938e-05,668302
54,1.6450881958007812e-05,1.3589859008789062e-05,1.3828277587890625e-05,8.440017700195312e-05,4.100799560546875e-05,6.079673767089844e-05,668302
55,3.0994415283203125e-05,1.5020370483398438e-05,1.7642974853515625e-05,1.7642974853515625e-05,1.4066696166992188e-05,1.33514404296875e-05,668302
56,1.8358230590820312e-05,1.3828277587890625e-05,1.3828277587890625e-05,1.621246337890625e-05,1.33514404296875e-05,1.3589859008789062e-05,668302
57,5.8650970458984375e-05,1.7404556274414062e-05,1.52587890625e-05,2.002716064453125e-05,1.71661376953125e-05,1.9311904907226562e-05,668302
58,2.1696090698242188e-05,1.5020370483398438e-05,1.52587890625e-05,1.8596649169921875e-05,1.430511474609375e-05,1.3113021850585938e-05,668302
59,1.9073486328125e-05,1.4781951904296875e-05,1.3828277587890625e-05,1.811981201171875e-05,1.5020370483398438e-05,1.4781951904296875e-05,668302
60,3.743171691894531e-05,1.6450881958007812e-05,1.4781951904296875e-05,0.00010824203491210938,1.6927719116210938e-05,1.4066696166992188e-05,668302
61,2.2172927856445312e-05,1.52587890625e-05,1.4543533325195312e-05,1.9073486328125e-05,1.4781951904296875e-05,1.3589859008789062e-05,668302
62,1.7881393432617188e-05,1.4066696166992188e-05,1.2874603271484375e-05,3.218650817871094e-05,1.5497207641601562e-05,1.4066696166992188e-05,668302
63,1.9550323486328125e-05,1.3589859008789062e-05,1.5974044799804688e-05,5.91278076171875e-05,2.3126602172851562e-05,1.5020370483398438e-05,668302
64,1.8835067749023438e-05,1.4066696166992188e-05,1.4066696166992188e-05,1.6927719116210938e-05,1.3589859008789062e-05,1.3589859008789062e-05,668302
65,2.8848648071289062e-05,1.3828277587890625e-05,1.4066696166992188e-05,1.7404556274414062e-05,1.3828277587890625e-05,1.33514404296875e-05,668302
66,3.600120544433594e-05,1.5735626220703125e-05,1.2874603271484375e-05,1.5020370483398438e-05,1.2874603271484375e-05,1.2636184692382812e-05,668302
67,1.8596649169921875e-05,1.4066696166992188e-05,1.33514404296875e-05,1.811981201171875e-05,1.33514404296875e-05,1.2636184692382812e-05,668302
68,1.9073486328125e-05,1.4781951904296875e-05,1.4066696166992188e-05,1.9311904907226562e-05,1.4781951904296875e-05,1.621246337890625e-05,668302
69,2.0265579223632812e-05,1.4543533325195312e-05,1.4543533325195312e-05,1.8358230590820312e-05,1.4781951904296875e-05,1.430511474609375e-05,668302
70,5.841255187988281e-05,3.1948089599609375e-05,0.0003075599670410156,4.6253204345703125e-05,3.123283386230469e-05,8.7738037109375e-05,668302
71,3.62396240234375e-05,3.1948089599609375e-05,3.24249267578125e-05,3.8623809814453125e-05,1.5497207641601562e-05,1.2874603271484375e-05,668302
72,1.8835067749023438e-05,1.3113021850585938e-05,1.3828277587890625e-05,1.8596649169921875e-05,1.3113021850585938e-05,1.3113021850585938e-05,668302
73,3.4809112548828125e-05,1.430511474609375e-05,1.2636184692382812e-05,1.71661376953125e-05,1.4781951904296875e-05,1.3589859008789062e-05,668302
74,2.1457672119140625e-05,1.4066696166992188e-05,1.3589859008789062e-05,2.0742416381835938e-05,1.2874603271484375e-05,1.2874603271484375e-05,668302
75,1.9311904907226562e-05,1.5020370483398438e-05,1.33514404296875e-05,1.7404556274414062e-05,7.62939453125e-05,2.3126602172851562e-05,668302
76,3.147125244140625e-05,1.5974044799804688e-05,1.5735626220703125e-05,1.9788742065429688e-05,1.33514404296875e-05,1.33514404296875e-05,668302
77,1.9550323486328125e-05,1.3589859008789062e-05,1.2636184692382812e-05,7.653236389160156e-05,4.029273986816406e-05,6.771087646484375e-05,668302
78,2.4080276489257812e-05,1.4781951904296875e-05,1.621246337890625e-05,1.8358230590820312e-05,1.3589859008789062e-05,1.33514404296875e-05,668302
79,6.723403930664062e-05,1.8358230590820312e-05,1.33514404296875e-05,1.811981201171875e-05,1.33514404296875e-05,1.5497207641601562e-05,668302
80,2.2411346435546875e-05,1.33514404296875e-05,1.2159347534179688e-05,1.8358230590820312e-05,1.3828277587890625e-05,1.2159347534179688e-05,668302
81,7.343292236328125e-05,2.002716064453125e-05,1.5735626220703125e-05,1.8596649169921875e-05,2.6464462280273438e-05,0.00016021728515625,668302
82,4.76837158203125e-05,1.6927719116210938e-05,1.4543533325195312e-05,3.24249267578125e-05,1.621246337890625e-05,1.33514404296875e-05,668302
83,2.0503997802734375e-05,1.3828277587890625e-05,1.3589859008789062e-05,1.7642974853515625e-05,1.4066696166992188e-05,1.239776611328125e-05,668302
84,1.7404556274414062e-05,1.3589859008789062e-05,1.3113021850585938e-05,3.314018249511719e-05,1.5497207641601562e-05,1.3589859008789062e-05,668302
85,2.1457672119140625e-05,1.5974044799804688e-05,1.4066696166992188e-05,1.8596649169921875e-05,1.4066696166992188e-05,1.239776611328125e-05,668302
86,1.9311904907226562e-05,1.4781951904296875e-05,6.461143493652344e-05,6.246566772460938e-05,2.574920654296875e-05,1.33514404296875e-05,668302
87,1.8835067749023438e-05,1.3589859008789062e-05,1.1920928955078125e-05,1.6689300537109375e-05,1.33514404296875e-05,1.2159347534179688e-05,668302
88,2.2411346435546875e-05,1.4543533325195312e-05,1.3589859008789062e-05,8.869171142578125e-05,3.170967102050781e-05,1.7404556274414062e-05,668302
89,2.0742416381835938e-05,1.430511474609375e-05,1.33514404296875e-05,2.3603439331054688e-05,1.621246337890625e-05,1.3113021850585938e-05,668302
90,1.9073486328125e-05,1.3828277587890625e-05,1.4066696166992188e-05,1.9311904907226562e-05,1.3828277587890625e-05,1.2874603271484375e-05,668302
91,2.1696090698242188e-05,1.3828277587890625e-05,1.3589859008789062e-05,1.6927719116210938e-05,1.3589859008789062e-05,1.3589859008789062e-05,668302
92,3.695487976074219e-05,1.6689300537109375e-05,1.3828277587890625e-05,2.3365020751953125e-05,1.5735626220703125e-05,1.3589859008789062e-05,668302
93,1.9788742065429688e-05,1.52587890625e-05,1.3589859008789062e-05,2.002716064453125e-05,9.202957153320312e-05,0.00029206275939941406,668302
94,4.100799560546875e-05,3.337860107421875e-05,2.7894973754882812e-05,3.3855438232421875e-05,2.9325485229492188e-05,9.036064147949219e-05,668302
95,4.172325134277344e-05,1.9788742065429688e-05,2.0742416381835938e-05,2.2411346435546875e-05,1.4066696166992188e-05,1.3589859008789062e-05,668302
96,2.1219253540039062e-05,1.430511474609375e-05,1.3589859008789062e-05,6.508827209472656e-05,1.6689300537109375e-05,1.4781951904296875e-05,668302
97,2.1457672119140625e-05,1.430511474609375e-05,1.4066696166992188e-05,2.002716064453125e-05,1.3828277587890625e-05,1.33514404296875e-05,668302
98,1.9788742065429688e-05,1.4781951904296875e-05,1.3113021850585938e-05,3.647804260253906e-05,1.6450881958007812e-05,1.3589859008789062e-05,668302
99,2.3603439331054688e-05,1.4543533325195312e-05,1.3589859008789062e-05,1.8596649169921875e-05,1.33514404296875e-05,1.33514404296875e-05,668302
100,1.9311904907226562e-05,1.3828277587890625e-05,1.2874603271484375e-05,1.8835067749023438e-05,1.3828277587890625e-05,1.33514404296875e-05,668302
101,2.1219253540039062e-05,1.430511474609375e-05,1.430511474609375e-05,6.651878356933594e-05,3.886222839355469e-05,1.8835067749023438e-05,668302
102,3.147125244140625e-05,1.4543533325195312e-05,1.3589859008789062e-05,3.647804260253906e-05,1.5497207641601562e-05,1.3113021850585938e-05,668302
103,2.384185791015625e-05,1.4781951904296875e-05,1.3828277587890625e-05,2.384185791015625e-05,1.430511474609375e-05,1.3828277587890625e-05,668302
104,0.0005290508270263672,1.811981201171875e-05,1.5974044799804688e-05,2.6941299438476562e-05,1.4066696166992188e-05,1.33514404296875e-05,668302
105,3.933906555175781e-05,6.031990051269531e-05,5.602836608886719e-05,3.361701965332031e-05,1.52587890625e-05,1.3113021850585938e-05,668302
106,2.1219253540039062e-05,1.3113021850585938e-05,1.3113021850585938e-05,1.8835067749023438e-05,1.3589859008789062e-05,1.3113021850585938e-05,668302
107,5.698204040527344e-05,1.71661376953125e-05,1.4066696166992188e-05,1.9788742065429688e-05,1.430511474609375e-05,1.3113021850585938e-05,668302
108,2.0265579223632812e-05,1.4066696166992188e-05,1.3589859008789062e-05,1.9073486328125e-05,1.33514404296875e-05,1.2874603271484375e-05,668302
109,1.9788742065429688e-05,1.5020370483398438e-05,7.677078247070312e-05,2.2411346435546875e-05,1.4066696166992188e-05,1.3113021850585938e-05,668302
110,2.5510787963867188e-05,1.4066696166992188e-05,1.3589859008789062e-05,1.9550323486328125e-05,1.430511474609375e-05,1.52587890625e-05,668302
111,2.09808349609375e-05,1.3113021850585938e-05,1.4066696166992188e-05,4.744529724121094e-05,2.8371810913085938e-05,1.5974044799804688e-05,668302
112,2.6226043701171875e-05,1.3828277587890625e-05,1.33514404296875e-05,5.745887756347656e-05,1.7404556274414062e-05,1.430511474609375e-05,668302
113,1.9550323486328125e-05,1.52587890625e-05,1.3589859008789062e-05,1.811981201171875e-05,1.3828277587890625e-05,7.891654968261719e-05,668302
114,4.76837158203125e-05,1.7642974853515625e-05,1.52587890625e-05,3.504753112792969e-05,1.5974044799804688e-05,1.4066696166992188e-05,668302
115,2.002716064453125e-05,1.430511474609375e-05,1.430511474609375e-05,1.8596649169921875e-05,1.4781951904296875e-05,1.4543533325195312e-05,668302
116,3.504753112792969e-05,1.6450881958007812e-05,1.4781951904296875e-05,1.8835067749023438e-05,1.6927719116210938e-05,1.33514404296875e-05,668302
117,2.2649765014648438e-05,1.430511474609375e-05,1.3589859008789062e-05,2.0265579223632812e-05,7.939338684082031e-05,7.200241088867188e-05,668302
118,3.409385681152344e-05,1.6450881958007812e-05,1.4543533325195312e-05,1.8835067749023438e-05,1.4543533325195312e-05,1.3589859008789062e-05,668302
119,4.315376281738281e-05,1.5497207641601562e-05,5.8650970458984375e-05,2.765655517578125e-05,1.52587890625e-05,1.3589859008789062e-05,668302
120,2.1696090698242188e-05,1.52587890625e-05,1.4543533325195312e-05,1.9311904907226562e-05,1.430511474609375e-05,8.869171142578125e-05,668302
121,4.7206878662109375e-05,1.049041748046875e-05,9.059906005859375e-06,1.0967254638671875e-05,8.58306884765625e-06,7.62939453125e-06,668302
122,1.5735626220703125e-05,8.106231689453125e-06,7.867813110351562e-06,1.1205673217773438e-05,8.58306884765625e-06,8.106231689453125e-06,668302
123,9.560585021972656e-05,2.3365020751953125e-05,9.298324584960938e-06,1.1444091796875e-05,8.344650268554688e-06,7.867813110351562e-06,668302
124,1.239776611328125e-05,8.58306884765625e-06,7.62939453125e-06,9.775161743164062e-06,8.344650268554688e-06,8.106231689453125e-06,668302
125,1.049041748046875e-05,8.344650268554688e-06,7.867813110351562e-06,1.0728836059570312e-05,8.106231689453125e-06,7.62939453125e-06,668302
126,1.0728836059570312e-05,8.106231689453125e-06,7.62939453125e-06,1.1444091796875e-05,8.344650268554688e-06,7.62939453125e-06,668302
127,1.1205673217773438e-05,8.106231689453125e-06,8.106231689453125e-06,1.049041748046875e-05,8.106231689453125e-06,8.344650268554688e-06,668302
128,2.8371810913085938e-05,1.0013580322265625e-05,8.58306884765625e-06,1.239776611328125e-05,6.270408630371094e-05,2.8848648071289062e-05,668302
129,2.4080276489257812e-05,1.4781951904296875e-05,1.3828277587890625e-05,1.8835067749023438e-05,1.430511474609375e-05,1.3828277587890625e-05,668302
130,9.965896606445312e-05,2.2172927856445312e-05,1.430511474609375e-05,2.1696090698242188e-05,1.4781951904296875e-05,1.2874603271484375e-05,668302
131,1.9073486328125e-05,1.3589859008789062e-05,1.3113021850585938e-05,1.8596649169921875e-05,1.3113021850585938e-05,1.2874603271484375e-05,668302
132,2.09808349609375e-05,1.3589859008789062e-05,1.33514404296875e-05,1.9311904907226562e-05,1.33514404296875e-05,1.3113021850585938e-05,668302
133,3.647804260253906e-05,1.5020370483398438e-05,1.2636184692382812e-05,2.193450927734375e-05,1.4066696166992188e-05,1.3113021850585938e-05,668302
134,2.1457672119140625e-05,1.430511474609375e-05,1.3828277587890625e-05,1.811981201171875e-05,1.4066696166992188e-05,1.3113021850585938e-05,668302
135,1.9550323486328125e-05,1.430511474609375e-05,1.3589859008789062e-05,1.7881393432617188e-05,1.3828277587890625e-05,7.867813110351562e-05,668302
136,5.9604644775390625e-05,2.3365020751953125e-05,1.5020370483398438e-05,3.6716461181640625e-05,2.8371810913085938e-05,2.5510787963867188e-05,668302
137,2.9802322387695312e-05,1.4543533325195312e-05,1.3589859008789062e-05,1.9073486328125e-05,1.3828277587890625e-05,1.3828277587890625e-05,668302
138,8.344650268554688e-05,3.0040740966796875e-05,1.4781951904296875e-05,3.3855438232421875e-05,1.52587890625e-05,1.3828277587890625e-05,668302
139,1.9311904907226562e-05,1.4066696166992188e-05,1.3589859008789062e-05,1.8835067749023438e-05,1.3828277587890625e-05,1.3113021850585938e-05,668302
140,2.1457672119140625e-05,1.3589859008789062e-05,1.3828277587890625e-05,2.193450927734375e-05,1.4543533325195312e-05,1.3113021850585938e-05,668302
141,3.719329833984375e-05,1.5974044799804688e-05,1.3828277587890625e-05,2.1457672119140625e-05,8.225440979003906e-05,1.6450881958007812e-05,668302
142,3.409385681152344e-05,1.5497207641601562e-05,1.3589859008789062e-05,2.09808349609375e-05,1.5497207641601562e-05,1.3113021850585938e-05,668302
143,0.0003387928009033203,3.719329833984375e-05,3.504753112792969e-05,4.38690185546875e-05,2.6464462280273438e-05,2.09808349609375e-05,668302
144,3.337860107421875e-05,1.5497207641601562e-05,1.3828277587890625e-05,3.314018249511719e-05,1.52587890625e-05,1.3589859008789062e-05,668302
145,2.0503997802734375e-05,1.4066696166992188e-05,1.3828277587890625e-05,1.7642974853515625e-05,1.3828277587890625e-05,1.3113021850585938e-05,668302
146,3.719329833984375e-05,1.5974044799804688e-05,1.4543533325195312e-05,2.0742416381835938e-05,1.3828277587890625e-05,1.3113021850585938e-05,668302
147,3.7670135498046875e-05,2.384185791015625e-05,2.4557113647460938e-05,8.416175842285156e-05,1.9550323486328125e-05,1.9788742065429688e-05,668302
148,2.574920654296875e-05,1.4066696166992188e-05,7.62939453125e-05,4.887580871582031e-05,1.7404556274414062e-05,1.430511474609375e-05,668302
149,3.4332275390625e-05,1.5974044799804688e-05,1.4066696166992188e-05,2.0265579223632812e-05,1.430511474609375e-05,1.3589859008789062e-05,668302
150,2.2649765014648438e-05,1.4066696166992188e-05,1.4066696166992188e-05,3.600120544433594e-05,1.8835067749023438e-05,1.4066696166992188e-05,668302
151,3.5762786865234375e-05,1.5735626220703125e-05,1.33514404296875e-05,0.00013637542724609375,2.7894973754882812e-05,1.71661376953125e-05,668302
152,6.532669067382812e-05,2.8848648071289062e-05,3.409385681152344e-05,8.96453857421875e-05,3.4809112548828125e-05,2.6941299438476562e-05,668302
153,3.361701965332031e-05,1.7881393432617188e-05,1.3589859008789062e-05,2.1219253540039062e-05,1.3589859008789062e-05,1.3113021850585938e-05,668302
154,2.3365020751953125e-05,1.4543533325195312e-05,1.4066696166992188e-05,2.1457672119140625e-05,1.4543533325195312e-05,1.3828277587890625e-05,668302
155,4.696846008300781e-05,2.6702880859375e-05,1.5497207641601562e-05,2.47955322265625e-05,1.6689300537109375e-05,1.2874603271484375e-05,668302
156,1.9550323486328125e-05,7.05718994140625e-05,7.724761962890625e-05,3.0040740966796875e-05,1.5497207641601562e-05,1.4543533325195312e-05,668302
157,2.5987625122070312e-05,1.52587890625e-05,1.2636184692382812e-05,2.2411346435546875e-05,1.8835067749023438e-05,1.2874603271484375e-05,668302
158,3.933906555175781e-05,1.6689300537109375e-05,1.430511474609375e-05,3.361701965332031e-05,1.5735626220703125e-05,1.3828277587890625e-05,668302
159,2.7418136596679688e-05,1.5735626220703125e-05,1.3828277587890625e-05,5.936622619628906e-05,2.956390380859375e-05,2.0742416381835938e-05,668302
160,3.552436828613281e-05,1.5735626220703125e-05,1.33514404296875e-05,4.315376281738281e-05,1.811981201171875e-05,2.0503997802734375e-05,668302
