Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,0.00010514259338378906,2.9802322387695312e-05,2.384185791015625e-05,2.6941299438476562e-05,2.002716064453125e-05,6.556510925292969e-05,463174
2,4.029273986816406e-05,2.1219253540039062e-05,1.811981201171875e-05,2.002716064453125e-05,1.7881393432617188e-05,7.987022399902344e-05,463174
3,3.457069396972656e-05,2.1219253540039062e-05,1.8835067749023438e-05,2.0503997802734375e-05,1.8596649169921875e-05,1.7404556274414062e-05,463174
4,2.288818359375e-05,1.7881393432617188e-05,1.811981201171875e-05,1.8835067749023438e-05,1.8596649169921875e-05,1.811981201171875e-05,463174
5,2.4318695068359375e-05,1.8596649169921875e-05,1.7881393432617188e-05,1.9788742065429688e-05,1.7881393432617188e-05,1.8358230590820312e-05,463174
6,2.1219253540039062e-05,1.811981201171875e-05,1.7642974853515625e-05,1.8835067749023438e-05,1.811981201171875e-05,1.7642974853515625e-05,463174
7,2.2172927856445312e-05,1.8358230590820312e-05,1.7881393432617188e-05,1.9311904907226562e-05,1.7881393432617188e-05,9.1552734375e-05,463174
8,5.2928924560546875e-05,2.2172927856445312e-05,0.00012946128845214844,3.266334533691406e-05,2.1457672119140625e-05,1.8358230590820312e-05,463174
9,2.384185791015625e-05,1.7881393432617188e-05,1.7642974853515625e-05,1.9788742065429688e-05,1.8596649169921875e-05,1.8358230590820312e-05,463174
10,2.1696090698242188e-05,1.8835067749023438e-05,1.8358230590820312e-05,1.9550323486328125e-05,8.726119995117188e-05,0.00010657310485839844,463174
11,3.9577484130859375e-05,2.2172927856445312e-05,1.8596649169921875e-05,2.288818359375e-05,1.9550323486328125e-05,1.8596649169921875e-05,463174
12,2.193450927734375e-05,1.7404556274414062e-05,1.6450881958007812e-05,1.8596649169921875e-05,1.5974044799804688e-05,1.6927719116210938e-05,463174
13,7.700920104980469e-05,8.440017700195312e-05,4.744529724121094e-05,4.649162292480469e-05,3.695487976074219e-05,3.504753112792969e-05,463174
14,3.695487976074219e-05,2.002716064453125e-05,1.7881393432617188e-05,1.9311904907226562e-05,1.7404556274414062e-05,1.5974044799804688e-05,463174
15,2.193450927734375e-05,1.7881393432617188e-05,1.8596649169921875e-05,1.9311904907226562e-05,1.7404556274414062e-05,1.71661376953125e-05,463174
16,2.1457672119140625e-05,1.7642974853515625e-05,1.6927719116210938e-05,2.3365020751953125e-05,2.193450927734375e-05,1.8596649169921875e-05,463174
17,0.00011920928955078125,4.76837158203125e-05,2.1457672119140625e-05,2.2172927856445312e-05,1.8596649169921875e-05,1.8358230590820312e-05,463174
18,2.2649765014648438e-05,1.8596649169921875e-05,1.7881393432617188e-05,2.0742416381835938e-05,1.811981201171875e-05,1.7881393432617188e-05,463174
19,2.384185791015625e-05,0.00012302398681640625,9.799003601074219e-05,4.3392181396484375e-05,3.695487976074219e-05,3.528594970703125e-05,463174
20,3.0517578125e-05,2.002716064453125e-05,1.811981201171875e-05,2.0742416381835938e-05,1.8358230590820312e-05,1.8596649169921875e-05,463174
21,5.9604644775390625e-05,2.2649765014648438e-05,1.9311904907226562e-05,2.1219253540039062e-05,1.9311904907226562e-05,8.153915405273438e-05,463174
22,5.2928924560546875e-05,8.535385131835938e-05,3.218650817871094e-05,3.981590270996094e-05,2.0742416381835938e-05,1.7404556274414062e-05,463174
23,2.3126602172851562e-05,1.811981201171875e-05,1.7881393432617188e-05,2.002716064453125e-05,1.7642974853515625e-05,1.7404556274414062e-05,463174
24,3.0279159545898438e-05,3.743171691894531e-05,3.147125244140625e-05,4.076957702636719e-05,2.193450927734375e-05,2.3603439331054688e-05,463174
25,4.076957702636719e-05,2.7894973754882812e-05,1.9073486328125e-05,2.1219253540039062e-05,1.9311904907226562e-05,1.7404556274414062e-05,463174
26,2.193450927734375e-05,1.8596649169921875e-05,1.6927719116210938e-05,2.2411346435546875e-05,1.7404556274414062e-05,1.6689300537109375e-05,463174
27,0.000102996826171875,3.9577484130859375e-05,3.3855438232421875e-05,3.9577484130859375e-05,8.273124694824219e-05,2.2411346435546875e-05,463174
28,2.9087066650390625e-05,1.9550323486328125e-05,1.9311904907226562e-05,2.2172927856445312e-05,1.811981201171875e-05,1.7881393432617188e-05,463174
29,2.384185791015625e-05,1.8596649169921875e-05,1.7642974853515625e-05,2.0503997802734375e-05,1.7881393432617188e-05,1.7404556274414062e-05,463174
30,8.368492126464844e-05,4.506111145019531e-05,2.193450927734375e-05,2.3126602172851562e-05,1.8835067749023438e-05,1.8358230590820312e-05,463174
31,2.5033950805664062e-05,1.8835067749023438e-05,1.7881393432617188e-05,2.1457672119140625e-05,2.0265579223632812e-05,1.9311904907226562e-05,463174
32,2.3126602172851562e-05,1.8358230590820312e-05,1.811981201171875e-05,2.1696090698242188e-05,1.8596649169921875e-05,1.7881393432617188e-05,463174
33,2.5272369384765625e-05,1.9311904907226562e-05,1.7642974853515625e-05,2.09808349609375e-05,1.7642974853515625e-05,1.7642974853515625e-05,463174
34,0.0003859996795654297,5.3882598876953125e-05,2.2649765014648438e-05,2.4318695068359375e-05,1.9311904907226562e-05,1.7642974853515625e-05,463174
35,2.384185791015625e-05,1.8358230590820312e-05,1.7404556274414062e-05,2.47955322265625e-05,1.9311904907226562e-05,1.8596649169921875e-05,463174
36,2.384185791015625e-05,0.00016355514526367188,2.5033950805664062e-05,2.3365020751953125e-05,1.9073486328125e-05,1.811981201171875e-05,463174
37,2.3603439331054688e-05,1.8596649169921875e-05,1.7404556274414062e-05,2.1219253540039062e-05,1.7642974853515625e-05,1.7642974853515625e-05,463174
38,0.00011563301086425781,3.790855407714844e-05,3.552436828613281e-05,3.9577484130859375e-05,2.5510787963867188e-05,1.9311904907226562e-05,463174
39,2.574920654296875e-05,1.9550323486328125e-05,1.8358230590820312e-05,9.512901306152344e-05,0.00011754035949707031,2.384185791015625e-05,463174
40,2.5510787963867188e-05,1.9550323486328125e-05,1.9073486328125e-05,2.1219253540039062e-05,2.002716064453125e-05,2.002716064453125e-05,463174
41,2.2649765014648438e-05,1.7881393432617188e-05,1.7881393432617188e-05,0.00011181831359863281,4.3392181396484375e-05,3.170967102050781e-05,463174
42,4.172325134277344e-05,2.3603439331054688e-05,2.0265579223632812e-05,2.2649765014648438e-05,1.9073486328125e-05,1.8358230590820312e-05,463174
43,0.0003228187561035156,2.384185791015625e-05,1.8358230590820312e-05,2.5033950805664062e-05,1.9788742065429688e-05,1.7881393432617188e-05,463174
44,2.6464462280273438e-05,1.9550323486328125e-05,1.71661376953125e-05,2.2172927856445312e-05,1.7881393432617188e-05,1.811981201171875e-05,463174
45,2.4557113647460938e-05,1.8358230590820312e-05,1.7881393432617188e-05,0.0003650188446044922,7.462501525878906e-05,2.3365020751953125e-05,463174
46,2.9087066650390625e-05,1.9788742065429688e-05,1.7881393432617188e-05,2.288818359375e-05,1.8358230590820312e-05,1.8358230590820312e-05,463174
47,2.7418136596679688e-05,2.002716064453125e-05,1.8596649169921875e-05,4.4345855712890625e-05,2.2649765014648438e-05,1.9550323486328125e-05,463174
48,2.5987625122070312e-05,2.0265579223632812e-05,1.8835067749023438e-05,2.09808349609375e-05,1.7881393432617188e-05,1.7642974853515625e-05,463174
49,7.82012939453125e-05,0.00011539459228515625,3.838539123535156e-05,4.5299530029296875e-05,2.2411346435546875e-05,2.3365020751953125e-05,463174
50,2.7894973754882812e-05,2.002716064453125e-05,1.7404556274414062e-05,2.2411346435546875e-05,0.0005216598510742188,2.5987625122070312e-05,463174
51,7.009506225585938e-05,3.409385681152344e-05,8.058547973632812e-05,2.574920654296875e-05,1.8835067749023438e-05,1.8358230590820312e-05,463174
52,2.5033950805664062e-05,1.8835067749023438e-05,1.7404556274414062e-05,2.2649765014648438e-05,1.8596649169921875e-05,1.8596649169921875e-05,463174
53,4.0531158447265625e-05,2.2172927856445312e-05,1.8835067749023438e-05,2.3603439331054688e-05,1.8358230590820312e-05,1.8358230590820312e-05,463174
54,2.5033950805664062e-05,1.8358230590820312e-05,1.7404556274414062e-05,0.0001342296600341797,0.00012540817260742188,4.482269287109375e-05,463174
55,4.673004150390625e-05,2.09808349609375e-05,1.8596649169921875e-05,2.2411346435546875e-05,1.811981201171875e-05,1.71661376953125e-05,463174
56,5.984306335449219e-05,2.3365020751953125e-05,1.9550323486328125e-05,2.5033950805664062e-05,0.00013899803161621094,7.939338684082031e-05,463174
57,4.1484832763671875e-05,2.3365020751953125e-05,2.5033950805664062e-05,2.5033950805664062e-05,1.9311904907226562e-05,1.9311904907226562e-05,463174
58,2.4318695068359375e-05,1.8596649169921875e-05,1.71661376953125e-05,2.4080276489257812e-05,1.7642974853515625e-05,1.7642974853515625e-05,463174
59,2.6941299438476562e-05,1.9311904907226562e-05,0.0004343986511230469,4.220008850097656e-05,2.2172927856445312e-05,1.9073486328125e-05,463174
60,2.956390380859375e-05,1.9788742065429688e-05,1.7642974853515625e-05,2.5033950805664062e-05,1.9073486328125e-05,0.00041222572326660156,463174
61,4.673004150390625e-05,2.3365020751953125e-05,1.9788742065429688e-05,2.7179718017578125e-05,1.9073486328125e-05,1.7404556274414062e-05,463174
62,2.4318695068359375e-05,1.8835067749023438e-05,2.1219253540039062e-05,4.482269287109375e-05,2.1696090698242188e-05,1.8835067749023438e-05,463174
63,2.574920654296875e-05,1.8596649169921875e-05,1.811981201171875e-05,2.288818359375e-05,1.811981201171875e-05,1.7881393432617188e-05,463174
64,2.7418136596679688e-05,1.8835067749023438e-05,1.7642974853515625e-05,2.2172927856445312e-05,0.0012469291687011719,4.172325134277344e-05,463174
65,0.0004067420959472656,5.030632019042969e-05,3.600120544433594e-05,2.8848648071289062e-05,1.9311904907226562e-05,1.7404556274414062e-05,463174
66,4.982948303222656e-05,3.886222839355469e-05,2.9325485229492188e-05,3.0517578125e-05,2.0742416381835938e-05,0.0006165504455566406,463174
67,4.8160552978515625e-05,2.2649765014648438e-05,2.002716064453125e-05,2.8848648071289062e-05,1.9550323486328125e-05,1.7881393432617188e-05,463174
68,3.218650817871094e-05,2.0503997802734375e-05,1.8596649169921875e-05,4.6253204345703125e-05,2.2411346435546875e-05,1.8835067749023438e-05,463174
69,7.891654968261719e-05,4.601478576660156e-05,2.7179718017578125e-05,2.7179718017578125e-05,2.3126602172851562e-05,1.8596649169921875e-05,463174
70,2.47955322265625e-05,7.677078247070312e-05,2.8133392333984375e-05,2.6941299438476562e-05,1.9550323486328125e-05,1.811981201171875e-05,463174
71,2.8133392333984375e-05,1.8596649169921875e-05,1.71661376953125e-05,2.574920654296875e-05,1.9073486328125e-05,1.8358230590820312e-05,463174
72,2.6226043701171875e-05,1.8835067749023438e-05,1.811981201171875e-05,2.384185791015625e-05,1.8835067749023438e-05,1.7881393432617188e-05,463174
73,0.0009784698486328125,4.0531158447265625e-05,2.1219253540039062e-05,2.8371810913085938e-05,1.9073486328125e-05,1.6927719116210938e-05,463174
74,5.125999450683594e-05,3.2901763916015625e-05,3.409385681152344e-05,4.029273986816406e-05,1.8835067749023438e-05,1.6689300537109375e-05,463174
75,5.8650970458984375e-05,2.3126602172851562e-05,1.9788742065429688e-05,2.8133392333984375e-05,2.002716064453125e-05,1.8835067749023438e-05,463174
