Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,7.224082946777344e-05,3.170967102050781e-05,1.0728836059570312e-05,9.059906005859375e-06,8.344650268554688e-06,1.7404556274414062e-05,770866
2,1.0728836059570312e-05,6.699562072753906e-05,2.1696090698242188e-05,2.288818359375e-05,9.059906005859375e-06,7.867813110351562e-06,770866
3,9.775161743164062e-06,7.62939453125e-06,7.3909759521484375e-06,8.106231689453125e-06,7.62939453125e-06,7.3909759521484375e-06,770866
4,9.5367431640625e-06,7.62939453125e-06,7.62939453125e-06,8.344650268554688e-06,7.3909759521484375e-06,7.62939453125e-06,770866
5,8.58306884765625e-06,7.62939453125e-06,7.62939453125e-06,8.106231689453125e-06,7.62939453125e-06,7.62939453125e-06,770866
6,8.821487426757812e-06,7.867813110351562e-06,7.867813110351562e-06,7.867813110351562e-06,7.3909759521484375e-06,7.62939453125e-06,770866
7,9.775161743164062e-06,7.3909759521484375e-06,7.3909759521484375e-06,8.344650268554688e-06,7.62939453125e-06,7.867813110351562e-06,770866
8,8.344650268554688e-06,7.62939453125e-06,7.62939453125e-06,9.059906005859375e-06,7.867813110351562e-06,7.3909759521484375e-06,770866
9,9.059906005859375e-06,7.3909759521484375e-06,7.867813110351562e-06,8.106231689453125e-06,8.344650268554688e-06,7.3909759521484375e-06,770866
10,9.059906005859375e-06,8.106231689453125e-06,7.3909759521484375e-06,8.344650268554688e-06,7.867813110351562e-06,8.106231689453125e-06,770866
11,9.059906005859375e-06,7.867813110351562e-06,7.3909759521484375e-06,8.106231689453125e-06,8.344650268554688e-06,7.3909759521484375e-06,770866
12,9.298324584960938e-06,7.62939453125e-06,7.867813110351562e-06,8.58306884765625e-06,7.3909759521484375e-06,7.62939453125e-06,770866
13,1.0013580322265625e-05,7.62939453125e-06,7.3909759521484375e-06,8.106231689453125e-06,7.62939453125e-06,6.4849853515625e-05,770866
14,2.0742416381835938e-05,1.1444091796875e-05,1.1682510375976562e-05,1.3589859008789062e-05,1.049041748046875e-05,1.0013580322265625e-05,770866
15,1.1682510375976562e-05,1.049041748046875e-05,1.0251998901367188e-05,1.1682510375976562e-05,2.3603439331054688e-05,7.62939453125e-06,770866
16,8.344650268554688e-06,7.3909759521484375e-06,7.62939453125e-06,8.106231689453125e-06,7.867813110351562e-06,7.867813110351562e-06,770866
17,1.0251998901367188e-05,7.867813110351562e-06,8.58306884765625e-06,9.298324584960938e-06,8.344650268554688e-06,7.62939453125e-06,770866
18,9.107589721679688e-05,0.0003180503845214844,2.4318695068359375e-05,1.52587890625e-05,1.1920928955078125e-05,9.775161743164062e-06,770866
19,1.5497207641601562e-05,1.1444091796875e-05,1.1205673217773438e-05,1.239776611328125e-05,1.0967254638671875e-05,1.049041748046875e-05,770866
