Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,9.870529174804688e-05,3.790855407714844e-05,2.8848648071289062e-05,2.7418136596679688e-05,2.3603439331054688e-05,0.0007908344268798828,50846
2,6.318092346191406e-05,2.3126602172851562e-05,2.002716064453125e-05,2.0742416381835938e-05,1.811981201171875e-05,1.7881393432617188e-05,50846
3,0.00016260147094726562,2.956390380859375e-05,1.9550323486328125e-05,2.1219253540039062e-05,1.8596649169921875e-05,1.9311904907226562e-05,50846
4,2.384185791015625e-05,1.9550323486328125e-05,1.8358230590820312e-05,0.00010132789611816406,3.457069396972656e-05,2.09808349609375e-05,50846
5,2.8133392333984375e-05,2.0265579223632812e-05,1.9788742065429688e-05,2.2172927856445312e-05,2.8371810913085938e-05,1.8358230590820312e-05,50846
6,2.956390380859375e-05,2.0742416381835938e-05,2.4318695068359375e-05,9.608268737792969e-05,0.00012063980102539062,3.886222839355469e-05,50846
7,3.0279159545898438e-05,2.193450927734375e-05,1.8358230590820312e-05,2.193450927734375e-05,2.0265579223632812e-05,1.9550323486328125e-05,50846
8,2.6702880859375e-05,1.9073486328125e-05,2.3126602172851562e-05,2.4318695068359375e-05,1.9073486328125e-05,2.193450927734375e-05,50846
9,2.8371810913085938e-05,2.1219253540039062e-05,1.8835067749023438e-05,2.2172927856445312e-05,2.4318695068359375e-05,2.1696090698242188e-05,50846
10,2.9802322387695312e-05,2.0742416381835938e-05,1.8835067749023438e-05,2.288818359375e-05,2.0503997802734375e-05,2.0503997802734375e-05,50846
11,7.319450378417969e-05,2.5033950805664062e-05,2.0742416381835938e-05,0.0003917217254638672,2.4080276489257812e-05,0.0001773834228515625,50846
12,2.5033950805664062e-05,1.239776611328125e-05,1.4543533325195312e-05,1.1920928955078125e-05,1.049041748046875e-05,1.0728836059570312e-05,50846
13,3.814697265625e-05,2.47955322265625e-05,2.2649765014648438e-05,0.00011992454528808594,4.7206878662109375e-05,8.726119995117188e-05,50846
14,7.867813110351562e-05,4.172325134277344e-05,2.5272369384765625e-05,2.574920654296875e-05,2.2411346435546875e-05,2.384185791015625e-05,50846
15,3.075599670410156e-05,1.1682510375976562e-05,1.0728836059570312e-05,1.1682510375976562e-05,1.049041748046875e-05,1.6689300537109375e-05,50846
16,1.6927719116210938e-05,1.2159347534179688e-05,1.3828277587890625e-05,9.298324584960938e-06,8.106231689453125e-06,8.106231689453125e-06,50846
17,5.0067901611328125e-05,1.4543533325195312e-05,9.775161743164062e-06,1.0728836059570312e-05,8.344650268554688e-06,9.5367431640625e-06,50846
18,1.049041748046875e-05,7.867813110351562e-06,7.867813110351562e-06,9.059906005859375e-06,7.62939453125e-06,7.867813110351562e-06,50846
19,9.298324584960938e-06,8.344650268554688e-06,7.867813110351562e-06,9.059906005859375e-06,7.62939453125e-06,7.867813110351562e-06,50846
20,1.1444091796875e-05,1.1444091796875e-05,1.430511474609375e-05,1.7642974853515625e-05,1.7881393432617188e-05,1.52587890625e-05,50846
21,4.863739013671875e-05,3.743171691894531e-05,2.8848648071289062e-05,4.887580871582031e-05,7.581710815429688e-05,4.7206878662109375e-05,50846
22,0.00020360946655273438,3.600120544433594e-05,8.273124694824219e-05,3.170967102050781e-05,1.9311904907226562e-05,2.6702880859375e-05,50846
23,3.218650817871094e-05,1.4543533325195312e-05,8.106231689453125e-06,9.775161743164062e-06,2.3603439331054688e-05,7.867813110351562e-06,50846
24,5.936622619628906e-05,2.6941299438476562e-05,2.9087066650390625e-05,2.0265579223632812e-05,1.4781951904296875e-05,1.3828277587890625e-05,50846
