Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,Re-Key Generation Time,Re-Encryption Time,Re-Decryption Time,File Size (bytes)
1,8.153915405273438e-05,2.2411346435546875e-05,1.7642974853515625e-05,1.6689300537109375e-05,1.52587890625e-05,1.7881393432617188e-05,151338
2,1.811981201171875e-05,1.52587890625e-05,1.5020370483398438e-05,1.5020370483398438e-05,1.4781951904296875e-05,1.4781951904296875e-05,151338
3,5.53131103515625e-05,2.2172927856445312e-05,1.8358230590820312e-05,1.5974044799804688e-05,1.3589859008789062e-05,1.2636184692382812e-05,151338
4,2.6464462280273438e-05,1.9788742065429688e-05,1.33514404296875e-05,1.33514404296875e-05,1.2636184692382812e-05,1.0967254638671875e-05,151338
5,1.52587890625e-05,1.1920928955078125e-05,1.2159347534179688e-05,1.4066696166992188e-05,2.4557113647460938e-05,0.0002720355987548828,151338
6,5.650520324707031e-05,0.0002300739288330078,2.09808349609375e-05,1.52587890625e-05,1.2874603271484375e-05,1.1920928955078125e-05,151338
7,1.6927719116210938e-05,1.1205673217773438e-05,1.0967254638671875e-05,1.2636184692382812e-05,1.1920928955078125e-05,1.1205673217773438e-05,151338
8,1.5974044799804688e-05,1.2636184692382812e-05,1.0967254638671875e-05,1.621246337890625e-05,1.9550323486328125e-05,1.7881393432617188e-05,151338
9,1.52587890625e-05,1.1205673217773438e-05,1.0967254638671875e-05,1.1920928955078125e-05,1.0967254638671875e-05,1.2874603271484375e-05,151338
10,2.6464462280273438e-05,1.4066696166992188e-05,2.0503997802734375e-05,2.1219253540039062e-05,1.3828277587890625e-05,1.1682510375976562e-05,151338
11,1.5974044799804688e-05,1.1682510375976562e-05,1.1205673217773438e-05,1.4543533325195312e-05,1.049041748046875e-05,1.1205673217773438e-05,151338
12,1.4781951904296875e-05,1.1444091796875e-05,1.2159347534179688e-05,1.2159347534179688e-05,1.0728836059570312e-05,1.1920928955078125e-05,151338
13,1.430511474609375e-05,1.1682510375976562e-05,1.0728836059570312e-05,1.5497207641601562e-05,1.9788742065429688e-05,2.5272369384765625e-05,151338
