Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,0.00951838493347168,4.1961669921875e-05,2.09808349609375e-05,770866
2,2.2411346435546875e-05,1.6689300537109375e-05,1.6927719116210938e-05,770866
3,1.8835067749023438e-05,1.6927719116210938e-05,1.6689300537109375e-05,770866
4,2.4080276489257812e-05,1.9550323486328125e-05,1.9550323486328125e-05,770866
5,2.6941299438476562e-05,2.4318695068359375e-05,2.7179718017578125e-05,770866
6,3.4809112548828125e-05,2.5272369384765625e-05,2.5987625122070312e-05,770866
7,6.151199340820312e-05,3.0994415283203125e-05,3.6716461181640625e-05,770866
8,0.0002205371856689453,9.226799011230469e-05,3.552436828613281e-05,770866
9,4.100799560546875e-05,2.7894973754882812e-05,1.8596649169921875e-05,770866
10,2.5510787963867188e-05,1.71661376953125e-05,1.7881393432617188e-05,770866
11,2.2411346435546875e-05,1.8596649169921875e-05,1.6689300537109375e-05,770866
12,3.409385681152344e-05,3.218650817871094e-05,3.147125244140625e-05,770866
13,3.9577484130859375e-05,2.0265579223632812e-05,1.8835067749023438e-05,770866
14,2.5272369384765625e-05,1.8835067749023438e-05,1.9311904907226562e-05,770866
15,2.2411346435546875e-05,1.7642974853515625e-05,1.6450881958007812e-05,770866
16,2.4080276489257812e-05,2.5987625122070312e-05,0.0005476474761962891,770866
17,4.9591064453125e-05,2.2172927856445312e-05,1.8596649169921875e-05,770866
18,2.5033950805664062e-05,1.8596649169921875e-05,1.7642974853515625e-05,770866
19,2.3126602172851562e-05,1.8835067749023438e-05,1.8835067749023438e-05,770866
20,2.47955322265625e-05,1.8358230590820312e-05,1.7642974853515625e-05,770866
21,4.267692565917969e-05,2.193450927734375e-05,1.8596649169921875e-05,770866
22,2.5272369384765625e-05,1.9550323486328125e-05,1.9550323486328125e-05,770866
23,2.5510787963867188e-05,1.8835067749023438e-05,1.7642974853515625e-05,770866
24,2.6226043701171875e-05,1.9788742065429688e-05,1.7642974853515625e-05,770866
25,4.839897155761719e-05,8.034706115722656e-05,2.9802322387695312e-05,770866
26,2.8133392333984375e-05,1.9073486328125e-05,1.8358230590820312e-05,770866
27,2.5510787963867188e-05,1.9311904907226562e-05,1.7642974853515625e-05,770866
28,2.4318695068359375e-05,2.0503997802734375e-05,1.8358230590820312e-05,770866
29,0.0001163482666015625,0.000110626220703125,2.9325485229492188e-05,770866
30,2.956390380859375e-05,1.8835067749023438e-05,1.7404556274414062e-05,770866
31,2.7179718017578125e-05,1.9311904907226562e-05,1.8596649169921875e-05,770866
32,2.5987625122070312e-05,1.9788742065429688e-05,1.8835067749023438e-05,770866
33,2.6464462280273438e-05,1.8596649169921875e-05,1.8596649169921875e-05,770866
34,2.3603439331054688e-05,1.8596649169921875e-05,1.811981201171875e-05,770866
35,2.7894973754882812e-05,1.8358230590820312e-05,1.71661376953125e-05,770866
36,4.982948303222656e-05,7.510185241699219e-05,2.8371810913085938e-05,770866
37,3.2901763916015625e-05,1.9788742065429688e-05,1.8596649169921875e-05,770866
38,2.7418136596679688e-05,1.9788742065429688e-05,1.8596649169921875e-05,770866
39,2.6702880859375e-05,1.8835067749023438e-05,1.8358230590820312e-05,770866
40,6.127357482910156e-05,2.4318695068359375e-05,1.9311904907226562e-05,770866
41,3.170967102050781e-05,2.0742416381835938e-05,1.8835067749023438e-05,770866
42,4.649162292480469e-05,2.384185791015625e-05,1.9550323486328125e-05,770866
43,2.5987625122070312e-05,1.8358230590820312e-05,1.7642974853515625e-05,770866
44,2.6226043701171875e-05,1.8358230590820312e-05,1.811981201171875e-05,770866
45,2.5510787963867188e-05,2.0503997802734375e-05,1.7881393432617188e-05,770866
46,2.47955322265625e-05,2.0265579223632812e-05,1.7642974853515625e-05,770866
47,2.6226043701171875e-05,2.002716064453125e-05,1.7881393432617188e-05,770866
48,8.869171142578125e-05,2.5033950805664062e-05,2.0503997802734375e-05,770866
49,3.0517578125e-05,3.600120544433594e-05,1.6927719116210938e-05,770866
50,2.6226043701171875e-05,1.6927719116210938e-05,1.811981201171875e-05,770866
51,0.00012731552124023438,0.00010776519775390625,2.7894973754882812e-05,770866
52,2.86102294921875e-05,2.193450927734375e-05,1.9073486328125e-05,770866
53,2.47955322265625e-05,2.7894973754882812e-05,2.6464462280273438e-05,770866
54,5.340576171875e-05,3.457069396972656e-05,3.147125244140625e-05,770866
55,8.559226989746094e-05,4.863739013671875e-05,4.673004150390625e-05,770866
56,0.0002334117889404297,0.006646394729614258,0.0001518726348876953,770866
57,8.130073547363281e-05,2.1219253540039062e-05,1.6450881958007812e-05,770866
58,2.8371810913085938e-05,1.5020370483398438e-05,1.5497207641601562e-05,770866
59,2.002716064453125e-05,1.4066696166992188e-05,1.2636184692382812e-05,770866
60,1.7642974853515625e-05,1.2874603271484375e-05,1.239776611328125e-05,770866
61,1.7404556274414062e-05,1.3113021850585938e-05,1.2636184692382812e-05,770866
62,0.00011301040649414062,5.1975250244140625e-05,3.361701965332031e-05,770866
63,4.3392181396484375e-05,2.002716064453125e-05,1.7404556274414062e-05,770866
64,4.291534423828125e-05,9.5367431640625e-05,7.224082946777344e-05,770866
65,5.936622619628906e-05,2.3365020751953125e-05,1.9550323486328125e-05,770866
66,3.075599670410156e-05,2.0265579223632812e-05,1.9311904907226562e-05,770866
67,0.00021028518676757812,4.6253204345703125e-05,2.7179718017578125e-05,770866
68,3.361701965332031e-05,2.6941299438476562e-05,2.6702880859375e-05,770866
69,0.00011277198791503906,5.412101745605469e-05,3.0279159545898438e-05,770866
70,4.7206878662109375e-05,4.0531158447265625e-05,2.5272369384765625e-05,770866
71,0.00015211105346679688,4.124641418457031e-05,3.600120544433594e-05,770866
72,7.605552673339844e-05,5.507469177246094e-05,4.3392181396484375e-05,770866
73,8.392333984375e-05,1.5020370483398438e-05,1.9311904907226562e-05,770866
74,1.5974044799804688e-05,1.0728836059570312e-05,1.7881393432617188e-05,770866
75,2.6464462280273438e-05,5.6743621826171875e-05,1.8835067749023438e-05,770866
76,2.6464462280273438e-05,2.5510787963867188e-05,1.239776611328125e-05,770866
77,2.6702880859375e-05,8.58306884765625e-06,9.059906005859375e-06,770866
78,1.1205673217773438e-05,7.867813110351562e-06,6.9141387939453125e-06,770866
79,1.1920928955078125e-05,9.059906005859375e-06,8.821487426757812e-06,770866
80,1.6927719116210938e-05,5.316734313964844e-05,7.987022399902344e-05,770866
81,1.6927719116210938e-05,1.0013580322265625e-05,1.2874603271484375e-05,770866
82,1.5497207641601562e-05,9.775161743164062e-06,9.298324584960938e-06,770866
83,1.2159347534179688e-05,9.298324584960938e-06,6.890296936035156e-05,770866
84,1.33514404296875e-05,8.344650268554688e-06,8.821487426757812e-06,770866
85,1.3113021850585938e-05,9.298324584960938e-06,8.821487426757812e-06,770866
86,1.239776611328125e-05,1.3589859008789062e-05,1.811981201171875e-05,770866
87,1.2636184692382812e-05,9.059906005859375e-06,8.821487426757812e-06,770866
88,1.239776611328125e-05,9.298324584960938e-06,9.059906005859375e-06,770866
89,0.00027441978454589844,2.86102294921875e-05,1.1444091796875e-05,770866
90,1.239776611328125e-05,8.106231689453125e-06,1.3828277587890625e-05,770866
91,1.9550323486328125e-05,9.298324584960938e-06,7.62939453125e-06,770866
92,2.765655517578125e-05,9.298324584960938e-06,8.58306884765625e-06,770866
93,1.239776611328125e-05,7.867813110351562e-06,7.867813110351562e-06,770866
94,1.33514404296875e-05,1.430511474609375e-05,3.814697265625e-05,770866
95,1.52587890625e-05,1.0967254638671875e-05,1.0728836059570312e-05,770866
96,1.3828277587890625e-05,1.049041748046875e-05,1.0967254638671875e-05,770866
97,2.288818359375e-05,1.811981201171875e-05,1.0728836059570312e-05,770866
