Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,8.916854858398438e-05,2.9802322387695312e-05,2.3365020751953125e-05,251830
2,3.123283386230469e-05,0.0007231235504150391,6.842613220214844e-05,251830
3,5.078315734863281e-05,3.7670135498046875e-05,3.838539123535156e-05,251830
4,4.267692565917969e-05,8.511543273925781e-05,4.4345855712890625e-05,251830
5,4.5299530029296875e-05,4.124641418457031e-05,3.4809112548828125e-05,251830
6,4.506111145019531e-05,3.8623809814453125e-05,2.7894973754882812e-05,251830
7,2.4557113647460938e-05,1.8835067749023438e-05,2.1696090698242188e-05,251830
8,2.384185791015625e-05,1.8835067749023438e-05,1.5735626220703125e-05,251830
9,2.1219253540039062e-05,1.71661376953125e-05,1.71661376953125e-05,251830
10,2.288818359375e-05,1.9073486328125e-05,1.811981201171875e-05,251830
11,2.5510787963867188e-05,2.09808349609375e-05,9.870529174804688e-05,251830
12,5.245208740234375e-05,2.6464462280273438e-05,2.3365020751953125e-05,251830
13,2.4557113647460938e-05,0.00017714500427246094,4.458427429199219e-05,251830
14,2.574920654296875e-05,1.9311904907226562e-05,1.8358230590820312e-05,251830
15,2.09808349609375e-05,1.7404556274414062e-05,1.71661376953125e-05,251830
16,2.0742416381835938e-05,1.6927719116210938e-05,1.6689300537109375e-05,251830
17,3.361701965332031e-05,1.8358230590820312e-05,2.47955322265625e-05,251830
18,4.76837158203125e-05,7.700920104980469e-05,2.1219253540039062e-05,251830
19,2.3126602172851562e-05,1.7881393432617188e-05,2.3603439331054688e-05,251830
20,2.5510787963867188e-05,2.1696090698242188e-05,1.811981201171875e-05,251830
21,2.4318695068359375e-05,1.6927719116210938e-05,1.8358230590820312e-05,251830
22,2.1696090698242188e-05,2.0503997802734375e-05,3.5762786865234375e-05,251830
23,3.24249267578125e-05,1.9311904907226562e-05,1.7881393432617188e-05,251830
24,2.3603439331054688e-05,1.8358230590820312e-05,1.8358230590820312e-05,251830
25,8.249282836914062e-05,4.3392181396484375e-05,2.1219253540039062e-05,251830
26,2.6941299438476562e-05,1.8835067749023438e-05,1.6927719116210938e-05,251830
27,2.4557113647460938e-05,1.9788742065429688e-05,1.7642974853515625e-05,251830
28,2.4080276489257812e-05,1.9788742065429688e-05,1.8358230590820312e-05,251830
29,2.5033950805664062e-05,1.8358230590820312e-05,1.7881393432617188e-05,251830
30,2.574920654296875e-05,2.09808349609375e-05,2.0503997802734375e-05,251830
31,2.5272369384765625e-05,1.8358230590820312e-05,1.71661376953125e-05,251830
32,4.601478576660156e-05,2.1696090698242188e-05,1.7404556274414062e-05,251830
33,4.363059997558594e-05,2.1696090698242188e-05,3.24249267578125e-05,251830
34,6.699562072753906e-05,2.6941299438476562e-05,2.47955322265625e-05,251830
35,2.7179718017578125e-05,2.0503997802734375e-05,1.811981201171875e-05,251830
36,2.6464462280273438e-05,1.811981201171875e-05,1.5735626220703125e-05,251830
37,2.7179718017578125e-05,1.8596649169921875e-05,1.9073486328125e-05,251830
38,2.384185791015625e-05,1.7642974853515625e-05,1.71661376953125e-05,251830
39,4.482269287109375e-05,2.3365020751953125e-05,1.7404556274414062e-05,251830
40,8.940696716308594e-05,2.8133392333984375e-05,2.0265579223632812e-05,251830
41,4.2438507080078125e-05,2.3603439331054688e-05,2.8133392333984375e-05,251830
42,2.956390380859375e-05,1.3113021850585938e-05,1.0967254638671875e-05,251830
43,1.33514404296875e-05,1.0728836059570312e-05,1.0013580322265625e-05,251830
44,1.1920928955078125e-05,1.1205673217773438e-05,1.049041748046875e-05,251830
45,3.6716461181640625e-05,0.00011420249938964844,0.00013184547424316406,251830
46,4.935264587402344e-05,2.8371810913085938e-05,2.0265579223632812e-05,251830
47,4.38690185546875e-05,3.719329833984375e-05,3.0040740966796875e-05,251830
48,2.6702880859375e-05,1.1920928955078125e-05,1.0728836059570312e-05,251830
49,1.3113021850585938e-05,1.049041748046875e-05,1.0013580322265625e-05,251830
50,1.239776611328125e-05,1.2636184692382812e-05,1.7642974853515625e-05,251830
51,4.3392181396484375e-05,1.9311904907226562e-05,2.0503997802734375e-05,251830
52,3.552436828613281e-05,1.9311904907226562e-05,1.6927719116210938e-05,251830
53,3.62396240234375e-05,2.3365020751953125e-05,2.09808349609375e-05,251830
54,2.6226043701171875e-05,1.8358230590820312e-05,1.8835067749023438e-05,251830
55,2.8371810913085938e-05,2.09808349609375e-05,2.193450927734375e-05,251830
56,3.314018249511719e-05,2.4080276489257812e-05,2.288818359375e-05,251830
57,0.0004944801330566406,3.695487976074219e-05,2.956390380859375e-05,251830
58,4.1961669921875e-05,2.3126602172851562e-05,1.9073486328125e-05,251830
59,0.00010561943054199219,3.647804260253906e-05,3.62396240234375e-05,251830
60,3.266334533691406e-05,2.0503997802734375e-05,1.8835067749023438e-05,251830
61,2.6702880859375e-05,1.9073486328125e-05,1.811981201171875e-05,251830
62,4.9591064453125e-05,2.0742416381835938e-05,1.7642974853515625e-05,251830
63,2.8848648071289062e-05,1.9311904907226562e-05,1.71661376953125e-05,251830
64,2.7418136596679688e-05,1.811981201171875e-05,0.00012636184692382812,251830
65,6.794929504394531e-05,3.361701965332031e-05,4.3392181396484375e-05,251830
66,4.410743713378906e-05,2.2172927856445312e-05,0.00011491775512695312,251830
67,7.081031799316406e-05,2.193450927734375e-05,1.8358230590820312e-05,251830
68,2.8371810913085938e-05,1.8835067749023438e-05,2.002716064453125e-05,251830
69,5.936622619628906e-05,3.552436828613281e-05,3.933906555175781e-05,251830
70,9.059906005859375e-05,2.6702880859375e-05,3.8623809814453125e-05,251830
71,3.719329833984375e-05,2.0265579223632812e-05,1.7404556274414062e-05,251830
72,3.075599670410156e-05,1.8596649169921875e-05,1.71661376953125e-05,251830
73,0.000141143798828125,5.340576171875e-05,2.3126602172851562e-05,251830
74,4.982948303222656e-05,4.1484832763671875e-05,3.0994415283203125e-05,251830
75,5.555152893066406e-05,8.463859558105469e-05,5.745887756347656e-05,251830
76,4.410743713378906e-05,2.6941299438476562e-05,2.4080276489257812e-05,251830
77,3.0517578125e-05,1.9550323486328125e-05,1.8596649169921875e-05,251830
78,3.2901763916015625e-05,1.8596649169921875e-05,1.8358230590820312e-05,251830
79,3.0994415283203125e-05,1.9311904907226562e-05,7.486343383789062e-05,251830
80,4.220008850097656e-05,2.288818359375e-05,2.4318695068359375e-05,251830
81,4.0531158447265625e-05,2.1457672119140625e-05,1.9311904907226562e-05,251830
82,3.1948089599609375e-05,1.9073486328125e-05,1.811981201171875e-05,251830
83,3.218650817871094e-05,2.0265579223632812e-05,1.8358230590820312e-05,251830
84,3.743171691894531e-05,2.8133392333984375e-05,0.000446319580078125,251830
85,6.008148193359375e-05,2.6226043701171875e-05,1.8835067749023438e-05,251830
86,4.57763671875e-05,2.2172927856445312e-05,1.9311904907226562e-05,251830
87,3.7670135498046875e-05,2.0265579223632812e-05,1.7642974853515625e-05,251830
88,3.2901763916015625e-05,2.002716064453125e-05,2.4080276489257812e-05,251830
89,4.220008850097656e-05,2.2411346435546875e-05,1.7881393432617188e-05,251830
90,5.626678466796875e-05,0.00011467933654785156,3.600120544433594e-05,251830
91,0.00010514259338378906,2.9802322387695312e-05,2.0742416381835938e-05,251830
92,3.4332275390625e-05,2.0742416381835938e-05,1.8835067749023438e-05,251830
