Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,8.487701416015625e-05,0.00013494491577148438,2.47955322265625e-05,251830
2,2.47955322265625e-05,1.8596649169921875e-05,1.7642974853515625e-05,251830
3,4.076957702636719e-05,3.314018249511719e-05,3.0279159545898438e-05,251830
4,3.337860107421875e-05,1.9788742065429688e-05,2.09808349609375e-05,251830
5,2.193450927734375e-05,1.7642974853515625e-05,1.7881393432617188e-05,251830
6,2.8371810913085938e-05,2.0503997802734375e-05,2.1219253540039062e-05,251830
7,2.09808349609375e-05,2.47955322265625e-05,3.910064697265625e-05,251830
8,3.075599670410156e-05,2.2649765014648438e-05,8.106231689453125e-05,251830
9,0.00010013580322265625,3.6716461181640625e-05,4.100799560546875e-05,251830
10,3.695487976074219e-05,2.1219253540039062e-05,2.09808349609375e-05,251830
11,2.3126602172851562e-05,1.7881393432617188e-05,1.6689300537109375e-05,251830
12,2.0503997802734375e-05,1.8596649169921875e-05,1.7404556274414062e-05,251830
13,2.288818359375e-05,1.811981201171875e-05,1.7642974853515625e-05,251830
14,2.1457672119140625e-05,1.8358230590820312e-05,1.7881393432617188e-05,251830
15,2.0503997802734375e-05,1.8358230590820312e-05,1.7642974853515625e-05,251830
16,2.0742416381835938e-05,1.811981201171875e-05,8.440017700195312e-05,251830
17,4.482269287109375e-05,2.1457672119140625e-05,1.9311904907226562e-05,251830
18,2.3126602172851562e-05,1.9311904907226562e-05,1.7642974853515625e-05,251830
19,2.1457672119140625e-05,1.811981201171875e-05,1.8358230590820312e-05,251830
20,2.1696090698242188e-05,1.811981201171875e-05,1.7881393432617188e-05,251830
21,2.2172927856445312e-05,1.9311904907226562e-05,1.7642974853515625e-05,251830
22,0.00010895729064941406,2.4080276489257812e-05,3.0517578125e-05,251830
23,4.9591064453125e-05,2.193450927734375e-05,1.8835067749023438e-05,251830
24,2.2411346435546875e-05,1.7881393432617188e-05,1.6927719116210938e-05,251830
25,2.1696090698242188e-05,1.811981201171875e-05,1.7404556274414062e-05,251830
26,2.1219253540039062e-05,1.7404556274414062e-05,1.7404556274414062e-05,251830
27,9.632110595703125e-05,3.4332275390625e-05,1.9550323486328125e-05,251830
28,2.4080276489257812e-05,1.811981201171875e-05,0.00031185150146484375,251830
29,4.8160552978515625e-05,2.288818359375e-05,2.002716064453125e-05,251830
30,2.4080276489257812e-05,1.9550323486328125e-05,9.012222290039062e-05,251830
31,3.981590270996094e-05,8.034706115722656e-05,2.4080276489257812e-05,251830
32,4.220008850097656e-05,2.2172927856445312e-05,1.8835067749023438e-05,251830
33,2.5987625122070312e-05,1.9073486328125e-05,1.811981201171875e-05,251830
34,2.5272369384765625e-05,1.9550323486328125e-05,1.8835067749023438e-05,251830
35,2.4318695068359375e-05,1.9073486328125e-05,1.8596649169921875e-05,251830
36,2.574920654296875e-05,2.002716064453125e-05,1.8835067749023438e-05,251830
37,2.5510787963867188e-05,1.9788742065429688e-05,3.743171691894531e-05,251830
38,4.267692565917969e-05,7.843971252441406e-05,2.86102294921875e-05,251830
39,2.956390380859375e-05,2.002716064453125e-05,1.8835067749023438e-05,251830
40,2.47955322265625e-05,1.9311904907226562e-05,1.7881393432617188e-05,251830
41,2.4557113647460938e-05,2.765655517578125e-05,3.6716461181640625e-05,251830
42,0.00032973289489746094,3.409385681152344e-05,1.9311904907226562e-05,251830
43,4.100799560546875e-05,2.2411346435546875e-05,1.9788742065429688e-05,251830
44,2.6464462280273438e-05,1.9788742065429688e-05,1.9311904907226562e-05,251830
45,2.4318695068359375e-05,1.8835067749023438e-05,1.7881393432617188e-05,251830
46,4.100799560546875e-05,2.1696090698242188e-05,1.8835067749023438e-05,251830
47,2.7894973754882812e-05,1.9550323486328125e-05,1.7404556274414062e-05,251830
48,2.5272369384765625e-05,1.9073486328125e-05,1.7881393432617188e-05,251830
49,2.6941299438476562e-05,1.9073486328125e-05,1.7881393432617188e-05,251830
50,2.574920654296875e-05,1.9073486328125e-05,1.8835067749023438e-05,251830
51,2.5510787963867188e-05,1.9311904907226562e-05,1.8358230590820312e-05,251830
52,2.6702880859375e-05,1.811981201171875e-05,7.796287536621094e-05,251830
53,5.745887756347656e-05,2.384185791015625e-05,2.0265579223632812e-05,251830
54,2.9325485229492188e-05,1.9788742065429688e-05,1.9073486328125e-05,251830
55,9.799003601074219e-05,2.6464462280273438e-05,1.9788742065429688e-05,251830
56,3.933906555175781e-05,2.1219253540039062e-05,1.7881393432617188e-05,251830
57,2.47955322265625e-05,1.9073486328125e-05,1.8358230590820312e-05,251830
58,2.4318695068359375e-05,1.9311904907226562e-05,1.811981201171875e-05,251830
59,2.4318695068359375e-05,1.8358230590820312e-05,1.7642974853515625e-05,251830
60,2.5510787963867188e-05,1.7642974853515625e-05,1.6927719116210938e-05,251830
61,2.3365020751953125e-05,1.811981201171875e-05,7.939338684082031e-05,251830
62,0.00010275840759277344,2.288818359375e-05,1.9073486328125e-05,251830
63,2.6464462280273438e-05,1.8596649169921875e-05,1.6689300537109375e-05,251830
64,2.4080276489257812e-05,1.8596649169921875e-05,1.71661376953125e-05,251830
65,8.678436279296875e-05,2.8848648071289062e-05,1.9550323486328125e-05,251830
66,2.5272369384765625e-05,1.8358230590820312e-05,1.6927719116210938e-05,251830
