Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,7.152557373046875e-05,1.5735626220703125e-05,1.0251998901367188e-05,770866
2,4.696846008300781e-05,1.0728836059570312e-05,8.106231689453125e-06,770866
3,8.821487426757812e-06,7.3909759521484375e-06,7.3909759521484375e-06,770866
4,7.867813110351562e-06,6.9141387939453125e-06,6.67572021484375e-06,770866
5,8.344650268554688e-06,6.9141387939453125e-06,6.4373016357421875e-06,770866
6,9.298324584960938e-06,7.62939453125e-06,5.9604644775390625e-05,770866
7,1.2159347534179688e-05,1.0967254638671875e-05,1.8358230590820312e-05,770866
8,1.4543533325195312e-05,1.0728836059570312e-05,1.4781951904296875e-05,770866
9,1.049041748046875e-05,7.62939453125e-06,7.152557373046875e-06,770866
10,7.867813110351562e-06,7.3909759521484375e-06,6.9141387939453125e-06,770866
11,7.867813110351562e-06,6.9141387939453125e-06,6.67572021484375e-06,770866
12,8.106231689453125e-06,6.9141387939453125e-06,7.152557373046875e-06,770866
13,7.62939453125e-06,7.3909759521484375e-06,8.106231689453125e-06,770866
14,8.58306884765625e-06,7.3909759521484375e-06,6.9141387939453125e-06,770866
15,8.106231689453125e-06,6.9141387939453125e-06,7.62939453125e-06,770866
16,8.106231689453125e-06,1.1682510375976562e-05,1.049041748046875e-05,770866
17,5.221366882324219e-05,0.00021147727966308594,4.100799560546875e-05,770866
18,2.3603439331054688e-05,1.5497207641601562e-05,1.1920928955078125e-05,770866
19,1.71661376953125e-05,1.5497207641601562e-05,1.1444091796875e-05,770866
20,1.5020370483398438e-05,1.0967254638671875e-05,7.867813110351562e-06,770866
21,8.344650268554688e-06,6.9141387939453125e-06,7.62939453125e-06,770866
22,9.5367431640625e-06,1.0728836059570312e-05,8.344650268554688e-06,770866
23,1.6689300537109375e-05,1.4066696166992188e-05,1.1205673217773438e-05,770866
24,1.621246337890625e-05,1.0728836059570312e-05,1.0728836059570312e-05,770866
25,1.6450881958007812e-05,1.239776611328125e-05,1.1444091796875e-05,770866
26,1.5020370483398438e-05,1.0728836059570312e-05,8.106231689453125e-06,770866
27,1.0013580322265625e-05,7.867813110351562e-06,6.4373016357421875e-06,770866
28,8.106231689453125e-06,9.059906005859375e-06,1.4066696166992188e-05,770866
29,1.9311904907226562e-05,1.1920928955078125e-05,1.049041748046875e-05,770866
30,1.5735626220703125e-05,1.2159347534179688e-05,1.3828277587890625e-05,770866
31,1.33514404296875e-05,1.2874603271484375e-05,1.1205673217773438e-05,770866
32,2.0742416381835938e-05,1.71661376953125e-05,1.4781951904296875e-05,770866
33,1.5974044799804688e-05,1.3828277587890625e-05,7.62939453125e-06,770866
34,1.049041748046875e-05,2.3603439331054688e-05,7.62939453125e-06,770866
35,2.1219253540039062e-05,4.792213439941406e-05,0.0002627372741699219,770866
36,9.369850158691406e-05,4.792213439941406e-05,3.790855407714844e-05,770866
37,3.981590270996094e-05,2.3365020751953125e-05,2.0265579223632812e-05,770866
38,3.6716461181640625e-05,4.9591064453125e-05,0.00010132789611816406,770866
39,1.5497207641601562e-05,8.344650268554688e-06,9.059906005859375e-06,770866
40,1.0251998901367188e-05,8.821487426757812e-06,7.867813110351562e-06,770866
41,1.0967254638671875e-05,8.344650268554688e-06,7.867813110351562e-06,770866
42,1.0251998901367188e-05,1.239776611328125e-05,1.5735626220703125e-05,770866
43,1.2874603271484375e-05,9.775161743164062e-06,9.059906005859375e-06,770866
44,2.1696090698242188e-05,1.8596649169921875e-05,1.8835067749023438e-05,770866
45,2.4557113647460938e-05,1.811981201171875e-05,1.8835067749023438e-05,770866
46,3.1948089599609375e-05,3.552436828613281e-05,2.1696090698242188e-05,770866
47,3.981590270996094e-05,1.4543533325195312e-05,2.1696090698242188e-05,770866
48,5.269050598144531e-05,0.00038433074951171875,0.0004222393035888672,770866
