Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,9.059906005859375e-05,3.600120544433594e-05,2.956390380859375e-05,50846
2,2.2172927856445312e-05,1.2159347534179688e-05,1.239776611328125e-05,50846
3,1.4066696166992188e-05,1.8596649169921875e-05,1.2874603271484375e-05,50846
4,1.9788742065429688e-05,1.4066696166992188e-05,1.430511474609375e-05,50846
5,1.4543533325195312e-05,1.2159347534179688e-05,1.1205673217773438e-05,50846
6,1.33514404296875e-05,1.1682510375976562e-05,1.1682510375976562e-05,50846
7,1.3589859008789062e-05,1.2159347534179688e-05,1.1682510375976562e-05,50846
8,1.3589859008789062e-05,1.2636184692382812e-05,1.1682510375976562e-05,50846
9,1.430511474609375e-05,1.1920928955078125e-05,1.1920928955078125e-05,50846
10,1.430511474609375e-05,1.239776611328125e-05,4.887580871582031e-05,50846
11,3.886222839355469e-05,1.4066696166992188e-05,1.2636184692382812e-05,50846
12,1.4543533325195312e-05,1.239776611328125e-05,1.1920928955078125e-05,50846
13,1.4781951904296875e-05,1.239776611328125e-05,1.2159347534179688e-05,50846
14,1.3828277587890625e-05,1.1682510375976562e-05,1.2159347534179688e-05,50846
15,1.3828277587890625e-05,1.239776611328125e-05,1.2159347534179688e-05,50846
16,1.4543533325195312e-05,6.29425048828125e-05,0.0002903938293457031,50846
17,3.62396240234375e-05,1.4781951904296875e-05,1.239776611328125e-05,50846
18,1.5020370483398438e-05,1.430511474609375e-05,1.1682510375976562e-05,50846
19,1.430511474609375e-05,0.0029096603393554688,4.673004150390625e-05,50846
20,2.5033950805664062e-05,1.5974044799804688e-05,1.33514404296875e-05,50846
21,1.6689300537109375e-05,1.3113021850585938e-05,1.2874603271484375e-05,50846
22,1.5497207641601562e-05,1.3113021850585938e-05,1.2636184692382812e-05,50846
23,1.5974044799804688e-05,1.2159347534179688e-05,3.314018249511719e-05,50846
24,1.9788742065429688e-05,1.3589859008789062e-05,0.00047206878662109375,50846
25,4.744529724121094e-05,1.52587890625e-05,1.3828277587890625e-05,50846
26,1.621246337890625e-05,1.2874603271484375e-05,1.1444091796875e-05,50846
27,1.52587890625e-05,1.2636184692382812e-05,1.1682510375976562e-05,50846
28,1.4781951904296875e-05,1.2874603271484375e-05,1.2159347534179688e-05,50846
29,1.5497207641601562e-05,1.239776611328125e-05,1.239776611328125e-05,50846
30,2.9325485229492188e-05,1.4066696166992188e-05,1.2874603271484375e-05,50846
31,1.5020370483398438e-05,1.2874603271484375e-05,1.239776611328125e-05,50846
32,1.4543533325195312e-05,1.239776611328125e-05,1.239776611328125e-05,50846
33,1.5974044799804688e-05,1.2874603271484375e-05,1.2159347534179688e-05,50846
34,3.814697265625e-05,0.0005791187286376953,2.86102294921875e-05,50846
35,2.002716064453125e-05,1.4543533325195312e-05,6.103515625e-05,50846
36,2.765655517578125e-05,1.4543533325195312e-05,1.33514404296875e-05,50846
37,1.5974044799804688e-05,1.2874603271484375e-05,1.1920928955078125e-05,50846
38,1.5020370483398438e-05,1.2636184692382812e-05,1.2159347534179688e-05,50846
39,1.5735626220703125e-05,1.2159347534179688e-05,1.3113021850585938e-05,50846
40,7.343292236328125e-05,2.6464462280273438e-05,2.47955322265625e-05,50846
41,3.218650817871094e-05,0.00019860267639160156,2.4080276489257812e-05,50846
42,5.626678466796875e-05,2.6226043701171875e-05,0.0005397796630859375,50846
43,2.1696090698242188e-05,1.430511474609375e-05,1.2636184692382812e-05,50846
44,1.6689300537109375e-05,1.2636184692382812e-05,1.1920928955078125e-05,50846
45,1.4781951904296875e-05,1.2636184692382812e-05,1.2159347534179688e-05,50846
46,1.5020370483398438e-05,1.239776611328125e-05,1.1682510375976562e-05,50846
47,3.8623809814453125e-05,1.430511474609375e-05,1.2874603271484375e-05,50846
48,1.6689300537109375e-05,1.1682510375976562e-05,1.1682510375976562e-05,50846
49,1.71661376953125e-05,1.2874603271484375e-05,1.0967254638671875e-05,50846
50,1.6450881958007812e-05,1.2874603271484375e-05,1.2159347534179688e-05,50846
51,1.5020370483398438e-05,1.239776611328125e-05,4.482269287109375e-05,50846
52,5.2928924560546875e-05,1.6927719116210938e-05,1.5735626220703125e-05,50846
53,3.814697265625e-05,8.0108642578125e-05,2.4318695068359375e-05,50846
54,2.6941299438476562e-05,1.430511474609375e-05,1.2159347534179688e-05,50846
55,4.2438507080078125e-05,1.4543533325195312e-05,1.2874603271484375e-05,50846
56,1.621246337890625e-05,1.239776611328125e-05,1.2159347534179688e-05,50846
57,1.6927719116210938e-05,1.2159347534179688e-05,1.2159347534179688e-05,50846
58,1.6450881958007812e-05,1.239776611328125e-05,1.1682510375976562e-05,50846
59,1.621246337890625e-05,1.2874603271484375e-05,1.239776611328125e-05,50846
60,0.0005466938018798828,2.0265579223632812e-05,1.4781951904296875e-05,50846
61,1.8596649169921875e-05,1.2874603271484375e-05,1.1682510375976562e-05,50846
62,3.457069396972656e-05,1.4543533325195312e-05,1.2874603271484375e-05,50846
63,3.075599670410156e-05,1.4066696166992188e-05,1.239776611328125e-05,50846
64,1.5735626220703125e-05,1.239776611328125e-05,1.1444091796875e-05,50846
65,1.7881393432617188e-05,1.3113021850585938e-05,1.1920928955078125e-05,50846
66,1.8358230590820312e-05,1.2636184692382812e-05,5.221366882324219e-05,50846
67,7.152557373046875e-05,2.288818359375e-05,1.71661376953125e-05,50846
68,0.0008885860443115234,3.2901763916015625e-05,1.8596649169921875e-05,50846
69,3.0040740966796875e-05,1.4543533325195312e-05,1.2159347534179688e-05,50846
70,1.9311904907226562e-05,1.3828277587890625e-05,1.1920928955078125e-05,50846
71,3.24249267578125e-05,5.340576171875e-05,1.6927719116210938e-05,50846
72,3.647804260253906e-05,1.430511474609375e-05,1.2159347534179688e-05,50846
73,3.5762786865234375e-05,1.52587890625e-05,1.2636184692382812e-05,50846
74,5.125999450683594e-05,1.4781951904296875e-05,1.2874603271484375e-05,50846
75,1.9788742065429688e-05,1.239776611328125e-05,1.1920928955078125e-05,50846
76,1.8596649169921875e-05,1.33514404296875e-05,1.239776611328125e-05,50846
77,6.318092346191406e-05,1.430511474609375e-05,1.2159347534179688e-05,50846
78,1.7642974853515625e-05,1.2874603271484375e-05,1.2159347534179688e-05,50846
79,0.0005271434783935547,2.6941299438476562e-05,1.3113021850585938e-05,50846
80,5.221366882324219e-05,5.4836273193359375e-05,1.9073486328125e-05,50846
81,2.2172927856445312e-05,1.4066696166992188e-05,1.1920928955078125e-05,50846
82,1.8358230590820312e-05,1.33514404296875e-05,1.2874603271484375e-05,50846
83,1.71661376953125e-05,1.2636184692382812e-05,1.2636184692382812e-05,50846
84,0.0005528926849365234,7.748603820800781e-05,0.00011134147644042969,50846
85,3.886222839355469e-05,1.5020370483398438e-05,1.33514404296875e-05,50846
86,1.9073486328125e-05,1.4066696166992188e-05,1.2636184692382812e-05,50846
87,1.811981201171875e-05,6.771087646484375e-05,6.198883056640625e-05,50846
88,0.0017273426055908203,7.2479248046875e-05,2.4318695068359375e-05,50846
89,3.600120544433594e-05,0.0002219676971435547,1.8835067749023438e-05,50846
90,2.0503997802734375e-05,1.3828277587890625e-05,1.3113021850585938e-05,50846
91,3.933906555175781e-05,1.5497207641601562e-05,1.3113021850585938e-05,50846
92,3.886222839355469e-05,1.4781951904296875e-05,1.3113021850585938e-05,50846
93,3.457069396972656e-05,1.3828277587890625e-05,1.2636184692382812e-05,50846
94,1.71661376953125e-05,1.239776611328125e-05,1.1682510375976562e-05,50846
95,1.7881393432617188e-05,1.2159347534179688e-05,1.1920928955078125e-05,50846
96,0.0001347064971923828,2.1219253540039062e-05,1.52587890625e-05,50846
97,1.9788742065429688e-05,1.4066696166992188e-05,1.3589859008789062e-05,50846
98,1.7642974853515625e-05,1.3828277587890625e-05,1.3589859008789062e-05,50846
99,1.6450881958007812e-05,1.3589859008789062e-05,1.33514404296875e-05,50846
100,1.8596649169921875e-05,1.4066696166992188e-05,1.3589859008789062e-05,50846
101,1.621246337890625e-05,1.3589859008789062e-05,1.33514404296875e-05,50846
