Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,0.00013375282287597656,5.459785461425781e-05,3.981590270996094e-05,668302
2,0.0005309581756591797,0.00032019615173339844,0.0003247261047363281,668302
3,0.00011873245239257812,3.170967102050781e-05,2.2411346435546875e-05,668302
4,2.956390380859375e-05,2.1696090698242188e-05,1.9550323486328125e-05,668302
5,9.322166442871094e-05,4.315376281738281e-05,3.0517578125e-05,668302
6,3.5762786865234375e-05,2.288818359375e-05,1.7404556274414062e-05,668302
7,8.034706115722656e-05,2.956390380859375e-05,1.9311904907226562e-05,668302
8,2.5987625122070312e-05,2.0265579223632812e-05,2.002716064453125e-05,668302
9,2.6702880859375e-05,1.7404556274414062e-05,1.6450881958007812e-05,668302
10,2.3126602172851562e-05,1.8358230590820312e-05,1.7642974853515625e-05,668302
11,0.00011229515075683594,0.00016260147094726562,2.3365020751953125e-05,668302
12,1.9311904907226562e-05,1.239776611328125e-05,1.049041748046875e-05,668302
13,1.3828277587890625e-05,1.0967254638671875e-05,1.049041748046875e-05,668302
14,1.3113021850585938e-05,1.049041748046875e-05,1.049041748046875e-05,668302
15,1.239776611328125e-05,1.0728836059570312e-05,1.4781951904296875e-05,668302
16,4.172325134277344e-05,0.000993490219116211,8.440017700195312e-05,668302
17,4.5299530029296875e-05,3.314018249511719e-05,2.9802322387695312e-05,668302
18,4.506111145019531e-05,3.361701965332031e-05,4.124641418457031e-05,668302
19,4.5299530029296875e-05,2.9087066650390625e-05,8.225440979003906e-05,668302
20,4.363059997558594e-05,4.100799560546875e-05,3.314018249511719e-05,668302
21,4.57763671875e-05,3.123283386230469e-05,2.6226043701171875e-05,668302
22,4.124641418457031e-05,2.5510787963867188e-05,2.4318695068359375e-05,668302
23,3.218650817871094e-05,1.1920928955078125e-05,1.049041748046875e-05,668302
24,1.33514404296875e-05,1.049041748046875e-05,1.0251998901367188e-05,668302
