Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,6.771087646484375e-05,1.9550323486328125e-05,1.4066696166992188e-05,151338
2,1.5020370483398438e-05,1.0967254638671875e-05,1.1205673217773438e-05,151338
3,1.2874603271484375e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
4,1.4066696166992188e-05,3.0994415283203125e-05,0.00011372566223144531,151338
5,1.8835067749023438e-05,1.1205673217773438e-05,2.574920654296875e-05,151338
6,3.123283386230469e-05,2.3603439331054688e-05,2.2172927856445312e-05,151338
7,2.4318695068359375e-05,2.1219253540039062e-05,2.09808349609375e-05,151338
8,2.4318695068359375e-05,8.106231689453125e-05,1.4781951904296875e-05,151338
9,1.5974044799804688e-05,1.0728836059570312e-05,1.049041748046875e-05,151338
10,1.1920928955078125e-05,1.049041748046875e-05,1.0728836059570312e-05,151338
11,3.075599670410156e-05,3.075599670410156e-05,3.3855438232421875e-05,151338
12,1.7642974853515625e-05,1.0728836059570312e-05,1.0251998901367188e-05,151338
13,1.2159347534179688e-05,1.0251998901367188e-05,1.0013580322265625e-05,151338
14,7.557868957519531e-05,3.0517578125e-05,1.2159347534179688e-05,151338
15,2.8371810913085938e-05,1.1920928955078125e-05,1.049041748046875e-05,151338
16,1.1920928955078125e-05,1.0728836059570312e-05,1.0251998901367188e-05,151338
17,1.3589859008789062e-05,1.0251998901367188e-05,1.0251998901367188e-05,151338
18,1.1444091796875e-05,1.0251998901367188e-05,1.0013580322265625e-05,151338
19,1.1205673217773438e-05,1.0013580322265625e-05,1.0013580322265625e-05,151338
20,1.1205673217773438e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
21,1.1682510375976562e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
22,1.239776611328125e-05,0.0004119873046875,8.225440979003906e-05,151338
23,2.1457672119140625e-05,1.3113021850585938e-05,1.1682510375976562e-05,151338
24,1.1920928955078125e-05,1.049041748046875e-05,1.0251998901367188e-05,151338
25,1.1682510375976562e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
26,1.1920928955078125e-05,1.0251998901367188e-05,1.0013580322265625e-05,151338
27,1.1920928955078125e-05,1.0251998901367188e-05,1.0013580322265625e-05,151338
28,1.1920928955078125e-05,1.0013580322265625e-05,9.5367431640625e-06,151338
29,1.1920928955078125e-05,1.0251998901367188e-05,1.0251998901367188e-05,151338
30,1.2159347534179688e-05,1.0251998901367188e-05,9.775161743164062e-06,151338
31,2.8848648071289062e-05,1.1682510375976562e-05,1.0251998901367188e-05,151338
32,1.2159347534179688e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
33,1.2636184692382812e-05,1.0251998901367188e-05,1.0251998901367188e-05,151338
34,5.054473876953125e-05,3.0517578125e-05,1.2159347534179688e-05,151338
35,1.3828277587890625e-05,1.049041748046875e-05,1.0251998901367188e-05,151338
36,1.1682510375976562e-05,1.0967254638671875e-05,1.0251998901367188e-05,151338
37,1.3113021850585938e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
38,1.2159347534179688e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
39,1.2636184692382812e-05,1.049041748046875e-05,1.0251998901367188e-05,151338
40,1.1920928955078125e-05,1.049041748046875e-05,1.049041748046875e-05,151338
41,1.2874603271484375e-05,1.1444091796875e-05,1.0013580322265625e-05,151338
42,1.2159347534179688e-05,1.0728836059570312e-05,1.049041748046875e-05,151338
43,1.33514404296875e-05,1.0967254638671875e-05,1.049041748046875e-05,151338
44,1.2636184692382812e-05,1.049041748046875e-05,1.0728836059570312e-05,151338
45,1.3113021850585938e-05,1.049041748046875e-05,1.0728836059570312e-05,151338
46,1.1920928955078125e-05,1.0251998901367188e-05,1.0251998901367188e-05,151338
47,1.2636184692382812e-05,1.049041748046875e-05,1.049041748046875e-05,151338
48,3.147125244140625e-05,1.1920928955078125e-05,1.049041748046875e-05,151338
49,1.2636184692382812e-05,1.0728836059570312e-05,1.049041748046875e-05,151338
50,1.2874603271484375e-05,1.0728836059570312e-05,1.0251998901367188e-05,151338
51,1.239776611328125e-05,1.049041748046875e-05,9.775161743164062e-06,151338
52,1.239776611328125e-05,1.0728836059570312e-05,1.0251998901367188e-05,151338
53,1.4543533325195312e-05,1.0967254638671875e-05,9.250640869140625e-05,151338
54,3.981590270996094e-05,1.2874603271484375e-05,1.1682510375976562e-05,151338
55,1.4066696166992188e-05,1.0728836059570312e-05,1.049041748046875e-05,151338
56,1.3113021850585938e-05,1.0251998901367188e-05,1.0013580322265625e-05,151338
57,1.1682510375976562e-05,1.0251998901367188e-05,9.775161743164062e-06,151338
58,1.1920928955078125e-05,1.0251998901367188e-05,9.775161743164062e-06,151338
59,1.2874603271484375e-05,1.049041748046875e-05,5.2928924560546875e-05,151338
60,3.2901763916015625e-05,1.2874603271484375e-05,1.049041748046875e-05,151338
61,1.3589859008789062e-05,1.0728836059570312e-05,1.049041748046875e-05,151338
62,1.3589859008789062e-05,1.049041748046875e-05,3.1948089599609375e-05,151338
63,1.5497207641601562e-05,1.1205673217773438e-05,1.0251998901367188e-05,151338
64,1.2636184692382812e-05,1.049041748046875e-05,1.0251998901367188e-05,151338
65,1.7881393432617188e-05,3.838539123535156e-05,1.9788742065429688e-05,151338
66,2.7894973754882812e-05,1.1920928955078125e-05,1.049041748046875e-05,151338
67,8.225440979003906e-05,1.3589859008789062e-05,1.7642974853515625e-05,151338
68,4.267692565917969e-05,1.5497207641601562e-05,1.0728836059570312e-05,151338
69,1.4781951904296875e-05,6.389617919921875e-05,0.00015425682067871094,151338
70,4.839897155761719e-05,8.130073547363281e-05,2.0265579223632812e-05,151338
71,3.62396240234375e-05,2.1457672119140625e-05,1.7881393432617188e-05,151338
72,5.054473876953125e-05,2.7418136596679688e-05,1.9550323486328125e-05,151338
73,4.124641418457031e-05,8.273124694824219e-05,1.9550323486328125e-05,151338
74,2.4557113647460938e-05,1.7404556274414062e-05,1.5974044799804688e-05,151338
75,2.765655517578125e-05,1.5497207641601562e-05,2.09808349609375e-05,151338
76,3.814697265625e-05,2.0742416381835938e-05,1.7404556274414062e-05,151338
77,2.9087066650390625e-05,1.8596649169921875e-05,1.811981201171875e-05,151338
78,8.058547973632812e-05,3.910064697265625e-05,3.147125244140625e-05,151338
79,0.00020551681518554688,4.982948303222656e-05,3.361701965332031e-05,151338
80,5.2928924560546875e-05,2.1457672119140625e-05,9.608268737792969e-05,151338
81,6.198883056640625e-05,0.0009615421295166016,5.054473876953125e-05,151338
82,4.291534423828125e-05,2.2649765014648438e-05,1.811981201171875e-05,151338
83,7.557868957519531e-05,2.7179718017578125e-05,2.3603439331054688e-05,151338
84,3.361701965332031e-05,2.1219253540039062e-05,1.9311904907226562e-05,151338
85,7.224082946777344e-05,3.504753112792969e-05,2.1219253540039062e-05,151338
86,2.765655517578125e-05,1.8596649169921875e-05,1.6927719116210938e-05,151338
87,0.00013828277587890625,2.3365020751953125e-05,1.811981201171875e-05,151338
88,2.6702880859375e-05,1.8835067749023438e-05,2.0503997802734375e-05,151338
89,2.8133392333984375e-05,1.9311904907226562e-05,0.00022292137145996094,151338
90,4.482269287109375e-05,2.0742416381835938e-05,1.8835067749023438e-05,151338
91,2.6226043701171875e-05,1.7881393432617188e-05,1.6927719116210938e-05,151338
92,2.5987625122070312e-05,1.8596649169921875e-05,1.71661376953125e-05,151338
93,0.00015211105346679688,6.794929504394531e-05,3.0040740966796875e-05,151338
94,3.5762786865234375e-05,1.2636184692382812e-05,1.0728836059570312e-05,151338
95,1.430511474609375e-05,1.0967254638671875e-05,1.0251998901367188e-05,151338
96,1.5497207641601562e-05,1.1205673217773438e-05,1.049041748046875e-05,151338
97,1.3113021850585938e-05,1.1205673217773438e-05,1.1205673217773438e-05,151338
98,3.9577484130859375e-05,1.2636184692382812e-05,1.049041748046875e-05,151338
99,1.5735626220703125e-05,1.049041748046875e-05,1.0251998901367188e-05,151338
100,1.3113021850585938e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
101,1.6689300537109375e-05,1.7642974853515625e-05,1.6450881958007812e-05,151338
102,0.0006015300750732422,6.771087646484375e-05,2.2411346435546875e-05,151338
103,4.0531158447265625e-05,2.6464462280273438e-05,1.9311904907226562e-05,151338
104,0.00010967254638671875,3.647804260253906e-05,2.3126602172851562e-05,151338
105,0.0006842613220214844,4.38690185546875e-05,2.3365020751953125e-05,151338
106,3.361701965332031e-05,2.09808349609375e-05,1.7642974853515625e-05,151338
107,4.220008850097656e-05,2.0742416381835938e-05,2.002716064453125e-05,151338
108,3.504753112792969e-05,2.2411346435546875e-05,2.0265579223632812e-05,151338
109,6.580352783203125e-05,3.409385681152344e-05,3.0994415283203125e-05,151338
110,4.839897155761719e-05,2.47955322265625e-05,6.246566772460938e-05,151338
111,4.6253204345703125e-05,2.193450927734375e-05,1.9311904907226562e-05,151338
112,3.933906555175781e-05,1.9550323486328125e-05,1.9550323486328125e-05,151338
113,4.6253204345703125e-05,2.3365020751953125e-05,1.9311904907226562e-05,151338
114,3.4809112548828125e-05,2.1457672119140625e-05,2.0503997802734375e-05,151338
115,3.314018249511719e-05,1.9073486328125e-05,1.7642974853515625e-05,151338
116,3.218650817871094e-05,2.0265579223632812e-05,1.8596649169921875e-05,151338
117,3.647804260253906e-05,2.765655517578125e-05,9.775161743164062e-05,151338
118,6.413459777832031e-05,3.337860107421875e-05,4.100799560546875e-05,151338
119,4.506111145019531e-05,2.3126602172851562e-05,2.4080276489257812e-05,151338
120,0.0013709068298339844,0.00013756752014160156,4.1484832763671875e-05,151338
121,3.3855438232421875e-05,1.8596649169921875e-05,1.8596649169921875e-05,151338
122,2.288818359375e-05,1.6689300537109375e-05,1.5974044799804688e-05,151338
123,2.47955322265625e-05,1.71661376953125e-05,1.621246337890625e-05,151338
124,2.1457672119140625e-05,1.6689300537109375e-05,1.621246337890625e-05,151338
125,4.6253204345703125e-05,1.8835067749023438e-05,1.9073486328125e-05,151338
126,2.956390380859375e-05,1.71661376953125e-05,1.9311904907226562e-05,151338
127,3.552436828613281e-05,0.0004534721374511719,9.179115295410156e-05,151338
128,2.3126602172851562e-05,1.1682510375976562e-05,1.0251998901367188e-05,151338
129,2.8848648071289062e-05,1.2159347534179688e-05,1.049041748046875e-05,151338
130,2.09808349609375e-05,0.00012373924255371094,6.318092346191406e-05,151338
131,0.00013184547424316406,4.172325134277344e-05,3.6716461181640625e-05,151338
132,2.9325485229492188e-05,1.1682510375976562e-05,1.049041748046875e-05,151338
133,1.3828277587890625e-05,1.049041748046875e-05,1.049041748046875e-05,151338
134,4.38690185546875e-05,1.4066696166992188e-05,1.049041748046875e-05,151338
135,1.430511474609375e-05,1.049041748046875e-05,1.0251998901367188e-05,151338
136,1.4781951904296875e-05,1.0967254638671875e-05,1.0251998901367188e-05,151338
137,1.4543533325195312e-05,1.049041748046875e-05,9.775161743164062e-06,151338
138,1.3589859008789062e-05,1.049041748046875e-05,1.0013580322265625e-05,151338
139,1.33514404296875e-05,1.0728836059570312e-05,1.1444091796875e-05,151338
140,1.4066696166992188e-05,1.0967254638671875e-05,1.239776611328125e-05,151338
141,3.170967102050781e-05,1.9550323486328125e-05,1.811981201171875e-05,151338
142,3.218650817871094e-05,1.9073486328125e-05,1.6927719116210938e-05,151338
143,0.00011467933654785156,2.9325485229492188e-05,1.8835067749023438e-05,151338
144,0.0003600120544433594,0.0010111331939697266,6.699562072753906e-05,151338
145,5.1021575927734375e-05,2.288818359375e-05,2.193450927734375e-05,151338
146,3.409385681152344e-05,1.8835067749023438e-05,1.7404556274414062e-05,151338
147,3.337860107421875e-05,1.9073486328125e-05,1.8596649169921875e-05,151338
148,4.887580871582031e-05,2.0742416381835938e-05,1.71661376953125e-05,151338
