Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,0.0003502368927001953,0.00014257431030273438,4.9114227294921875e-05,668302
2,0.00030303001403808594,0.0025391578674316406,0.0002033710479736328,668302
3,0.00010013580322265625,2.5272369384765625e-05,1.8835067749023438e-05,668302
4,2.574920654296875e-05,1.811981201171875e-05,1.6927719116210938e-05,668302
5,2.09808349609375e-05,1.7642974853515625e-05,1.811981201171875e-05,668302
6,2.1457672119140625e-05,1.6689300537109375e-05,1.6927719116210938e-05,668302
7,5.2928924560546875e-05,2.2411346435546875e-05,1.6689300537109375e-05,668302
8,1.9550323486328125e-05,1.5020370483398438e-05,1.4781951904296875e-05,668302
9,3.2901763916015625e-05,2.7894973754882812e-05,0.0003974437713623047,668302
10,2.384185791015625e-05,1.4543533325195312e-05,1.33514404296875e-05,668302
11,2.0265579223632812e-05,0.00013971328735351562,3.314018249511719e-05,668302
12,1.8358230590820312e-05,1.5020370483398438e-05,1.2636184692382812e-05,668302
13,1.5497207641601562e-05,1.1920928955078125e-05,1.1205673217773438e-05,668302
14,1.4543533325195312e-05,1.2159347534179688e-05,1.1920928955078125e-05,668302
15,2.384185791015625e-05,1.2159347534179688e-05,1.2874603271484375e-05,668302
16,9.298324584960938e-05,5.3882598876953125e-05,1.5497207641601562e-05,668302
17,1.1205673217773438e-05,8.106231689453125e-06,7.152557373046875e-06,668302
18,2.574920654296875e-05,7.152557373046875e-06,7.3909759521484375e-06,668302
19,2.5510787963867188e-05,7.3909759521484375e-06,7.3909759521484375e-06,668302
20,1.0013580322265625e-05,8.821487426757812e-06,7.62939453125e-06,668302
21,1.2874603271484375e-05,1.3113021850585938e-05,1.1682510375976562e-05,668302
22,1.8596649169921875e-05,1.3113021850585938e-05,1.0251998901367188e-05,668302
23,0.0002040863037109375,0.0001862049102783203,4.100799560546875e-05,668302
24,8.034706115722656e-05,3.4332275390625e-05,3.24249267578125e-05,668302
25,1.9788742065429688e-05,1.1682510375976562e-05,1.0251998901367188e-05,668302
