Number of Attributes,Key Generation Time,Encryption Time,Decryption Time,File Size (bytes)
1,6.723403930664062e-05,2.1457672119140625e-05,1.52587890625e-05,463174
2,2.7179718017578125e-05,0.000637054443359375,3.886222839355469e-05,463174
3,2.09808349609375e-05,1.33514404296875e-05,1.1205673217773438e-05,463174
4,1.33514404296875e-05,1.1205673217773438e-05,1.0728836059570312e-05,463174
5,1.4543533325195312e-05,1.1444091796875e-05,1.5497207641601562e-05,463174
6,1.5735626220703125e-05,1.3113021850585938e-05,1.1920928955078125e-05,463174
7,3.0517578125e-05,1.33514404296875e-05,4.935264587402344e-05,463174
8,2.8371810913085938e-05,1.3589859008789062e-05,1.2636184692382812e-05,463174
9,1.4543533325195312e-05,1.2636184692382812e-05,1.1444091796875e-05,463174
10,1.3589859008789062e-05,1.4781951904296875e-05,1.3113021850585938e-05,463174
11,1.3828277587890625e-05,1.1682510375976562e-05,1.1920928955078125e-05,463174
12,1.430511474609375e-05,1.239776611328125e-05,1.2159347534179688e-05,463174
13,1.52587890625e-05,1.1444091796875e-05,1.1682510375976562e-05,463174
14,1.5020370483398438e-05,1.1920928955078125e-05,0.00010776519775390625,463174
15,2.5510787963867188e-05,1.3113021850585938e-05,1.71661376953125e-05,463174
16,1.2636184692382812e-05,1.2159347534179688e-05,1.1205673217773438e-05,463174
17,1.6689300537109375e-05,1.1920928955078125e-05,1.1205673217773438e-05,463174
18,1.5735626220703125e-05,1.2636184692382812e-05,1.1682510375976562e-05,463174
19,1.52587890625e-05,1.2636184692382812e-05,1.1205673217773438e-05,463174
20,1.4781951904296875e-05,1.33514404296875e-05,1.1682510375976562e-05,463174
21,8.463859558105469e-05,0.0013232231140136719,1.7642974853515625e-05,463174
22,1.2159347534179688e-05,7.3909759521484375e-06,6.67572021484375e-06,463174
23,8.58306884765625e-06,6.67572021484375e-06,6.67572021484375e-06,463174
24,2.5272369384765625e-05,1.3589859008789062e-05,1.1920928955078125e-05,463174
25,2.8371810913085938e-05,1.621246337890625e-05,2.3603439331054688e-05,463174
26,3.337860107421875e-05,1.2874603271484375e-05,1.5497207641601562e-05,463174
27,1.5974044799804688e-05,1.1205673217773438e-05,1.049041748046875e-05,463174
28,1.3828277587890625e-05,1.1444091796875e-05,1.0967254638671875e-05,463174
29,1.4543533325195312e-05,1.1920928955078125e-05,1.0967254638671875e-05,463174
30,1.33514404296875e-05,1.049041748046875e-05,1.1920928955078125e-05,463174
31,1.6689300537109375e-05,1.1682510375976562e-05,1.1444091796875e-05,463174
32,3.1948089599609375e-05,1.2636184692382812e-05,1.1205673217773438e-05,463174
33,1.9073486328125e-05,1.2159347534179688e-05,1.5497207641601562e-05,463174
34,2.193450927734375e-05,1.6927719116210938e-05,1.621246337890625e-05,463174
35,2.5272369384765625e-05,1.6689300537109375e-05,1.6927719116210938e-05,463174
36,8.440017700195312e-05,3.409385681152344e-05,2.0503997802734375e-05,463174
37,3.075599670410156e-05,2.574920654296875e-05,1.5020370483398438e-05,463174
38,2.0503997802734375e-05,8.344650268554688e-06,6.9141387939453125e-06,463174
39,1.3828277587890625e-05,7.152557373046875e-06,6.9141387939453125e-06,463174
40,8.58306884765625e-06,1.0251998901367188e-05,9.5367431640625e-06,463174
41,8.821487426757812e-06,6.67572021484375e-06,6.67572021484375e-06,463174
42,8.106231689453125e-06,6.67572021484375e-06,7.152557373046875e-06,463174
43,9.059906005859375e-06,6.9141387939453125e-06,6.67572021484375e-06,463174
44,8.106231689453125e-06,6.9141387939453125e-06,6.4373016357421875e-06,463174
45,8.344650268554688e-06,7.152557373046875e-06,6.67572021484375e-06,463174
46,8.344650268554688e-06,7.152557373046875e-06,6.4373016357421875e-06,463174
47,8.821487426757812e-06,6.9141387939453125e-06,7.152557373046875e-06,463174
48,9.059906005859375e-06,7.152557373046875e-06,6.9141387939453125e-06,463174
49,9.059906005859375e-06,7.152557373046875e-06,6.9141387939453125e-06,463174
50,8.344650268554688e-06,7.152557373046875e-06,7.62939453125e-06,463174
51,2.6464462280273438e-05,8.58306884765625e-06,7.152557373046875e-06,463174
52,8.58306884765625e-06,6.9141387939453125e-06,6.67572021484375e-06,463174
53,9.059906005859375e-06,6.9141387939453125e-06,6.67572021484375e-06,463174
54,7.867813110351562e-06,6.9141387939453125e-06,6.9141387939453125e-06,463174
55,1.3828277587890625e-05,9.298324584960938e-06,6.67572021484375e-06,463174
56,9.5367431640625e-06,6.9141387939453125e-06,7.152557373046875e-06,463174
57,9.775161743164062e-06,8.106231689453125e-06,1.3113021850585938e-05,463174
58,2.002716064453125e-05,8.106231689453125e-06,6.9141387939453125e-06,463174
59,9.298324584960938e-06,7.152557373046875e-06,7.3909759521484375e-06,463174
60,9.059906005859375e-06,7.3909759521484375e-06,6.67572021484375e-06,463174
61,9.5367431640625e-06,7.3909759521484375e-06,7.152557373046875e-06,463174
62,9.059906005859375e-06,7.3909759521484375e-06,6.67572021484375e-06,463174
63,9.5367431640625e-06,6.9141387939453125e-06,6.67572021484375e-06,463174
64,1.1205673217773438e-05,7.152557373046875e-06,6.67572021484375e-06,463174
65,9.775161743164062e-06,6.9141387939453125e-06,5.698204040527344e-05,463174
66,5.53131103515625e-05,2.574920654296875e-05,2.765655517578125e-05,463174
67,3.170967102050781e-05,2.2172927856445312e-05,2.288818359375e-05,463174
68,7.319450378417969e-05,2.1696090698242188e-05,1.9073486328125e-05,463174
69,2.09808349609375e-05,1.6689300537109375e-05,1.1682510375976562e-05,463174
70,2.8371810913085938e-05,2.288818359375e-05,2.1696090698242188e-05,463174
71,3.218650817871094e-05,1.6927719116210938e-05,7.987022399902344e-05,463174
72,3.528594970703125e-05,1.3113021850585938e-05,1.3113021850585938e-05,463174
73,2.1457672119140625e-05,1.4543533325195312e-05,1.7642974853515625e-05,463174
74,2.4318695068359375e-05,1.2636184692382812e-05,1.1205673217773438e-05,463174
75,2.47955322265625e-05,2.5987625122070312e-05,2.4080276489257812e-05,463174
76,2.8371810913085938e-05,1.4543533325195312e-05,1.1920928955078125e-05,463174
77,2.5510787963867188e-05,1.7881393432617188e-05,7.724761962890625e-05,463174
78,4.2438507080078125e-05,2.3603439331054688e-05,2.2172927856445312e-05,463174
79,3.0040740966796875e-05,1.3113021850585938e-05,1.2636184692382812e-05,463174
80,2.193450927734375e-05,5.14984130859375e-05,2.956390380859375e-05,463174
81,3.147125244140625e-05,1.430511474609375e-05,1.3113021850585938e-05,463174
82,7.605552673339844e-05,2.765655517578125e-05,2.0503997802734375e-05,463174
83,3.62396240234375e-05,0.0004475116729736328,4.315376281738281e-05,463174
84,2.7179718017578125e-05,1.3828277587890625e-05,1.2874603271484375e-05,463174
85,6.866455078125e-05,1.3589859008789062e-05,1.1920928955078125e-05,463174
86,2.47955322265625e-05,2.1457672119140625e-05,2.47955322265625e-05,463174
87,5.125999450683594e-05,1.6450881958007812e-05,1.3113021850585938e-05,463174
88,4.458427429199219e-05,2.4080276489257812e-05,1.811981201171875e-05,463174
89,2.3126602172851562e-05,1.3589859008789062e-05,1.2874603271484375e-05,463174
90,2.09808349609375e-05,1.3828277587890625e-05,1.2874603271484375e-05,463174
91,9.012222290039062e-05,1.8596649169921875e-05,1.5497207641601562e-05,463174
92,5.269050598144531e-05,1.6450881958007812e-05,1.2636184692382812e-05,463174
93,2.3365020751953125e-05,1.2874603271484375e-05,1.2159347534179688e-05,463174
94,4.57763671875e-05,1.3113021850585938e-05,2.3603439331054688e-05,463174
95,2.5510787963867188e-05,2.9325485229492188e-05,2.2411346435546875e-05,463174
96,1.8835067749023438e-05,8.344650268554688e-06,7.152557373046875e-06,463174
97,5.030632019042969e-05,2.8848648071289062e-05,2.8133392333984375e-05,463174
98,1.5974044799804688e-05,8.344650268554688e-06,6.9141387939453125e-06,463174
99,9.059906005859375e-06,7.152557373046875e-06,6.9141387939453125e-06,463174
100,8.344650268554688e-06,6.9141387939453125e-06,6.67572021484375e-06,463174
101,9.298324584960938e-06,7.152557373046875e-06,6.67572021484375e-06,463174
102,8.58306884765625e-06,6.9141387939453125e-06,7.3909759521484375e-06,463174
103,1.0728836059570312e-05,6.9141387939453125e-06,6.67572021484375e-06,463174
104,8.821487426757812e-06,7.152557373046875e-06,3.504753112792969e-05,463174
105,2.956390380859375e-05,1.3828277587890625e-05,1.1682510375976562e-05,463174
106,5.745887756347656e-05,1.7881393432617188e-05,1.430511474609375e-05,463174
107,2.0742416381835938e-05,1.3828277587890625e-05,1.2636184692382812e-05,463174
108,5.602836608886719e-05,1.4543533325195312e-05,1.3113021850585938e-05,463174
109,1.9550323486328125e-05,1.2636184692382812e-05,1.1682510375976562e-05,463174
110,1.6927719116210938e-05,1.2636184692382812e-05,1.33514404296875e-05,463174
111,1.621246337890625e-05,1.1920928955078125e-05,1.1205673217773438e-05,463174
112,3.8623809814453125e-05,2.288818359375e-05,2.384185791015625e-05,463174
113,2.86102294921875e-05,2.574920654296875e-05,2.1696090698242188e-05,463174
114,1.5735626220703125e-05,1.1920928955078125e-05,1.1444091796875e-05,463174
115,1.4781951904296875e-05,1.1205673217773438e-05,1.0967254638671875e-05,463174
116,1.5020370483398438e-05,1.1920928955078125e-05,1.1444091796875e-05,463174
117,1.52587890625e-05,1.0967254638671875e-05,1.049041748046875e-05,463174
118,0.0002834796905517578,2.8371810913085938e-05,1.33514404296875e-05,463174
119,1.9073486328125e-05,1.1205673217773438e-05,1.1205673217773438e-05,463174
120,7.605552673339844e-05,6.866455078125e-05,2.7418136596679688e-05,463174
121,2.86102294921875e-05,1.239776611328125e-05,1.1682510375976562e-05,463174
122,1.5974044799804688e-05,1.1444091796875e-05,1.1682510375976562e-05,463174
123,1.5497207641601562e-05,0.00033164024353027344,1.5974044799804688e-05,463174
124,1.811981201171875e-05,1.239776611328125e-05,1.1444091796875e-05,463174
125,2.7894973754882812e-05,2.0503997802734375e-05,1.7881393432617188e-05,463174
126,2.0265579223632812e-05,1.2159347534179688e-05,1.0967254638671875e-05,463174
127,1.7404556274414062e-05,1.1444091796875e-05,1.1682510375976562e-05,463174
128,3.814697265625e-05,2.1696090698242188e-05,2.2411346435546875e-05,463174
129,4.482269287109375e-05,1.3113021850585938e-05,1.239776611328125e-05,463174
130,1.7404556274414062e-05,1.1682510375976562e-05,1.1682510375976562e-05,463174
131,1.6927719116210938e-05,1.1920928955078125e-05,1.1920928955078125e-05,463174
132,1.71661376953125e-05,1.2159347534179688e-05,1.1205673217773438e-05,463174
133,0.0004048347473144531,5.1975250244140625e-05,1.5020370483398438e-05,463174
134,3.123283386230469e-05,1.4781951904296875e-05,1.2874603271484375e-05,463174
135,3.695487976074219e-05,6.151199340820312e-05,2.1696090698242188e-05,463174
136,3.361701965332031e-05,1.7404556274414062e-05,1.5497207641601562e-05,463174
